ficedula_albicollis ENSFALG00000013771
taeniopygia_guttata ENSTGUG00000003359
zonotrichia_albicollis ENSZALG00000003404
melopsittacus_undulatus ENSMUNG00000008161
anser_brachyrhynchus ENSABRG00000007208
numida_meleagris ENSNMEG00000012592
parus_major ENSPMJG00000018863
dromaius_novaehollandiae ENSDNVG00000005940
anas_platyrhynchos ENSAPLG00000027386
pogona_vitticeps ENSPVIG00000007580
anolis_carolinensis ENSACAG00000001695
sarcophilus_harrisii ENSSHAG00000001131
monodelphis_domestica ENSMODG00000028305
castor_canadensis ENSCCNG00000031477
dipodomys_ordii ENSDORG00000008812
peromyscus_maniculatus ENSPEMG00000017632
microtus_ochrogaster ENSMOCG00000018526
cricetulus_griseus ENSCGRG00000001819
cricetulus_griseus ENSCGRG00001021282
mesocricetus_auratus ENSMAUG00000017767
mus_musculus ENSMUSG00000029675
mus_spretus MGP_SPRETEiJ_G0028816
mus_spicilegus ENSMSIG00000017355
mus_caroli MGP_CAROLIEiJ_G0027818
mus_pahari MGP_PahariEiJ_G0024366
rattus_norvegicus ENSRNOG00000001469
meriones_unguiculatus ENSMUGG00000002478
nannospalax_galili ENSNGAG00000012495
jaculus_jaculus ENSJJAG00000013776
ochotona_princeps ENSOPRG00000015829
homo_sapiens ENSG00000049540
pan_troglodytes ENSPTRG00000019283
macaca_mulatta ENSMMUG00000044533
macaca_nemestrina ENSMNEG00000029369
mandrillus_leucophaeus ENSMLEG00000024470
rhinopithecus_roxellana ENSRROG00000028675
rhinopithecus_bieti ENSRBIG00000041564
colobus_angolensis ENSCANG00000039514
nomascus_leucogenys ENSNLEG00000031822
cercocebus_atys ENSCATG00000030972
papio_anubis ENSPANG00000008675
pan_paniscus ENSPPAG00000041530
gorilla_gorilla ENSGGOG00000037197
cebus_capucinus ENSCCAG00000029476
aotus_nancymaae ENSANAG00000029913
saimiri_boliviensis ENSSBOG00000034365
carlito_syrichta ENSTSYG00000027436
microcebus_murinus ENSMICG00000045863
tupaia_belangeri ENSTBEG00000007437
octodon_degus ENSODEG00000016045
sus_scrofa ENSSSCG00000025858
tursiops_truncatus ENSTTRG00000008656
bos_indicus ENSBIXG00005009230
bos_indicus ENSBIXG00000029118
bos_taurus ENSBTAG00000019517
bos_mutus ENSBMUG00000009116
bison_bison ENSBBBG00000003006
capra_hircus ENSCHIG00000018073
equus_caballus ENSECAG00000040154
equus_asinus ENSEASG00005015891
pteropus_vampyrus ENSPVAG00000015429
myotis_lucifugus ENSMLUG00000000398
mustela_putorius ENSMPUG00000016085
neovison_vison ENSNVIG00000004873
ailuropoda_melanoleuca ENSAMEG00000015429
vulpes_vulpes ENSVVUG00000024830
canis_lupus ENSCAFG00000028947
felis_catus ENSFCAG00000044781
panthera_pardus ENSPPRG00000015603
dasypus_novemcinctus ENSDNOG00000008577
procavia_capensis ENSPCAG00000014664
echinops_telfairi ENSETEG00000007638
ursus_maritimus ENSUMAG00000014004
oryctolagus_cuniculus ENSOCUG00000031506
ornithorhynchus_anatinus ENSOANG00000029241
coturnix_japonica ENSCJPG00005004345
