octodon_degus ENSODEG00000008151
cavia_porcellus ENSCPOG00000021526
chinchilla_lanigera ENSCLAG00000001265
fukomys_damarensis ENSFDAG00000021073
tupaia_belangeri ENSTBEG00000013813
spermophilus_dauricus ENSSDAG00000006243
ochotona_princeps ENSOPRG00000000354
procavia_capensis ENSPCAG00000014609
pan_paniscus ENSPPAG00000027872
pan_troglodytes ENSPTRG00000020172
homo_sapiens ENSG00000147535
gorilla_gorilla ENSGGOG00000026288
pongo_abelii ENSPPYG00000018523
nomascus_leucogenys ENSNLEG00000012268
macaca_fascicularis ENSMFAG00000003982
macaca_mulatta ENSMMUG00000019958
macaca_nemestrina ENSMNEG00000011089
cercocebus_atys ENSCATG00000040560
theropithecus_gelada ENSTGEG00000008118
mandrillus_leucophaeus ENSMLEG00000038958
papio_anubis ENSPANG00000005870
chlorocebus_sabaeus ENSCSAG00000015437
colobus_angolensis_palliatus ENSCANG00000037319
piliocolobus_tephrosceles ENSPTEG00000034419
rhinopithecus_roxellana ENSRROG00000044623
rhinopithecus_bieti ENSRBIG00000037208
callithrix_jacchus ENSCJAG00000002560
saimiri_boliviensis_boliviensis ENSSBOG00000023364
cebus_capucinus ENSCCAG00000023804
aotus_nancymaae ENSANAG00000031794
carlito_syrichta ENSTSYG00000000533
propithecus_coquereli ENSPCOG00000027973
microcebus_murinus ENSMICG00000042115
prolemur_simus ENSPSMG00000013150
mus_spicilegus ENSMSIG00000029758
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032045
mus_musculus ENSMUSG00000031570
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030926
mus_pahari MGP_PahariEiJ_G0021396
rattus_norvegicus ENSRNOG00000015568
meriones_unguiculatus ENSMUGG00000026070
cricetulus_griseus_crigri ENSCGRG00000010494
cricetulus_griseus_chok1gshd ENSCGRG00001017015
cricetulus_griseus_crigri-picr ENSCGRG00015024441
mesocricetus_auratus ENSMAUG00000011792
microtus_ochrogaster ENSMOCG00000005732
peromyscus_maniculatus_bairdii ENSPEMG00000011775
nannospalax_galili ENSNGAG00000015631
jaculus_jaculus ENSJJAG00000011559
urocitellus_parryii ENSUPAG00010023929
ictidomys_tridecemlineatus ENSSTOG00000001131
marmota_marmota_marmota ENSMMMG00000015628
heterocephalus_glaber_male ENSHGLG00100006700
heterocephalus_glaber_female ENSHGLG00000003435
dipodomys_ordii ENSDORG00000007223
dasypus_novemcinctus ENSDNOG00000009301
equus_caballus ENSECAG00000001080
equus_asinus_asinus ENSEASG00005016674
capra_hircus ENSCHIG00000015709
capra_hircus ENSCHIG00000016507
ovis_aries ENSOARG00000001430
bos_mutus ENSBMUG00000011494
bos_taurus ENSBTAG00000027635
bison_bison_bison ENSBBBG00000005955
tursiops_truncatus ENSTTRG00000004512
sus_scrofa ENSSSCG00000015819
loxodonta_africana ENSLAFG00000028988
pteropus_vampyrus ENSPVAG00000006025
myotis_lucifugus ENSMLUG00000010530
sorex_araneus ENSSARG00000007732
neovison_vison ENSNVIG00000011102
mustela_putorius_furo ENSMPUG00000009690
ursus_maritimus ENSUMAG00000009200
ursus_americanus ENSUAMG00000004263
ailuropoda_melanoleuca ENSAMEG00000011236
canis_lupus_familiaris ENSCAFG00000006092
canis_lupus_dingo ENSCAFG00020002099
vulpes_vulpes ENSVVUG00000020205
panthera_pardus ENSPPRG00000022214
panthera_tigris_altaica ENSPTIG00000007238
felis_catus ENSFCAG00000043841
mesocricetus_auratus ENSMAUG00000012036
castor_canadensis ENSCCNG00000004619
echinops_telfairi ENSETEG00000009299
choloepus_hoffmanni ENSCHOG00000009108
phascolarctos_cinereus ENSPCIG00000008877
notamacropus_eugenii ENSMEUG00000009411
monodelphis_domestica ENSMODG00000010705
sarcophilus_harrisii ENSSHAG00000017397
ornithorhynchus_anatinus ENSOANG00000003254
apteryx_owenii ENSAOWG00000002717
apteryx_haastii ENSAHAG00000001345
apteryx_rowi ENSARWG00000011755
dromaius_novaehollandiae ENSDNVG00000002978
nothoprocta_perdicaria ENSNPEG00000000288
calidris_pugnax ENSCPUG00000005963
calidris_pugnax ENSCPUG00000005964
calidris_pygmaea ENSCPGG00000008611
melopsittacus_undulatus ENSMUNG00000001318
anas_platyrhynchos_platyrhynchos ENSAPLG00000014221
anser_brachyrhynchus ENSABRG00000003023
meleagris_gallopavo ENSMGAG00000002071
coturnix_japonica ENSCJPG00005015203
gallus_gallus ENSGALG00000044574
numida_meleagris ENSNMEG00000019794
lonchura_striata_domestica ENSLSDG00000006366
taeniopygia_guttata ENSTGUG00000017310
serinus_canaria ENSSCAG00000017035
junco_hyemalis ENSJHYG00000002897
zonotrichia_albicollis ENSZALG00000010250
ficedula_albicollis ENSFALG00000006702
parus_major ENSPMJG00000017951
cyanistes_caeruleus ENSCCEG00000007480
manacus_vitellinus ENSMVIG00005019105
lepidothrix_coronata ENSLCOG00000008041
crocodylus_porosus ENSCPRG00005001370
pogona_vitticeps ENSPVIG00000012659
notechis_scutatus ENSNSUG00000001314
anolis_carolinensis ENSACAG00000002081
notechis_scutatus ENSNSUG00000000376
salvator_merianae ENSSMRG00000021747
sphenodon_punctatus ENSSPUG00000011324
gopherus_agassizii ENSGAGG00000024075
chelonoidis_abingdonii ENSCABG00000014678
chrysemys_picta_bellii ENSCPBG00000006595
pelodiscus_sinensis ENSPSIG00000010633
latimeria_chalumnae ENSLACG00000012160
seriola_lalandi_dorsalis ENSSLDG00000004990
seriola_dumerili ENSSDUG00000002901
scophthalmus_maximus ENSSMAG00000006011
mastacembelus_armatus ENSMAMG00000014619
monopterus_albus ENSMALG00000020011
anabas_testudineus ENSATEG00000020352
tetraodon_nigroviridis ENSTNIG00000015929
takifugu_rubripes ENSTRUG00000024109
mola_mola ENSMMOG00000011680
labrus_bergylta ENSLBEG00000025641
poecilia_formosa ENSPFOG00000011539
poecilia_mexicana ENSPMEG00000004209
poecilia_latipinna ENSPLAG00000018742
poecilia_reticulata ENSPREG00000011750
xiphophorus_maculatus ENSXMAG00000014791
xiphophorus_couchianus ENSXCOG00000002693
gambusia_affinis ENSGAFG00000001233
fundulus_heteroclitus ENSFHEG00000022019
cyprinodon_variegatus ENSCVAG00000017843
kryptolebias_marmoratus ENSKMAG00000003214
oryzias_latipes ENSORLG00020005238
oryzias_latipes_asm223469v1 ENSORLG00015014990
oryzias_latipes ENSORLG00000002747
oryzias_melastigma ENSOMEG00000018008
amphiprion_ocellaris ENSAOCG00000014915
amphiprion_percula ENSAPEG00000017740
acanthochromis_polyacanthus ENSAPOG00000021769
stegastes_partitus ENSSPAG00000000940
maylandia_zebra ENSMZEG00005009601
astatotilapia_calliptera ENSACLG00000011390
haplochromis_burtoni ENSHBUG00000014112
pundamilia_nyererei ENSPNYG00000008519
neolamprologus_brichardi ENSNBRG00000018503
oreochromis_niloticus ENSONIG00000014416
amphilophus_citrinellus ENSACIG00000006411
gasterosteus_aculeatus ENSGACG00000005625
hippocampus_comes ENSHCOG00000006031
cynoglossus_semilaevis ENSCSEG00000019594
cynoglossus_semilaevis ENSCSEG00000009935
periophthalmus_magnuspinnatus ENSPMGG00000003403
gadus_morhua ENSGMOG00000013605
esox_lucius ENSELUG00000008938
esox_lucius ENSELUG00000023535
pygocentrus_nattereri ENSPNAG00000024042
ictalurus_punctatus ENSIPUG00000024660
danio_rerio ENSDARG00000057672
scleropages_formosus ENSSFOG00015020251
paramormyrops_kingsleyae ENSPKIG00000000494
petromyzon_marinus ENSPMAG00000007558
eptatretus_burgeri ENSEBUG00000001712
ciona_savignyi ENSCSAVG00000010863
