pan_troglodytes ENSPTRG00000049958
pan_paniscus ENSPPAG00000039430
gorilla_gorilla ENSGGOG00000037512
theropithecus_gelada ENSTGEG00000023083
macaca_nemestrina ENSMNEG00000043481
marmota_marmota_marmota ENSMMMG00000016630
ursus_americanus ENSUAMG00000005815
ursus_maritimus ENSUMAG00000012948
ursus_maritimus ENSUMAG00000012090
canis_lupus_dingo ENSCAFG00020012038
bison_bison_bison ENSBBBG00000006859
equus_asinus_asinus ENSEASG00005009984
equus_caballus ENSECAG00000033432
ornithorhynchus_anatinus ENSOANG00000013592
