anser_brachyrhynchus ENSABRG00000011260
anas_platyrhynchos_platyrhynchos ENSAPLG00000019029
meleagris_gallopavo ENSMGAG00000003724
coturnix_japonica ENSCJPG00005013529
gallus_gallus ENSGALG00000037020
numida_meleagris ENSNMEG00000004908
calidris_pygmaea ENSCPGG00000002122
calidris_pugnax ENSCPUG00000015020
taeniopygia_guttata ENSTGUG00000007168
taeniopygia_guttata ENSTGUG00000018377
lonchura_striata_domestica ENSLSDG00000004352
serinus_canaria ENSSCAG00000011473
junco_hyemalis ENSJHYG00000007023
zonotrichia_albicollis ENSZALG00000004717
parus_major ENSPMJG00000003264
cyanistes_caeruleus ENSCCEG00000016304
ficedula_albicollis ENSFALG00000010954
lepidothrix_coronata ENSLCOG00000001118
manacus_vitellinus ENSMVIG00005017752
apteryx_owenii ENSAOWG00000008576
apteryx_rowi ENSARWG00000006658
apteryx_haastii ENSAHAG00000012730
dromaius_novaehollandiae ENSDNVG00000003017
nothoprocta_perdicaria ENSNPEG00000008696
crocodylus_porosus ENSCPRG00005010132
chrysemys_picta_bellii ENSCPBG00000024176
chelonoidis_abingdonii ENSCABG00000015672
pelodiscus_sinensis ENSPSIG00000016265
