cynoglossus_semilaevis ENSCSEG00000007984
pygocentrus_nattereri ENSPNAG00000015531
scleropages_formosus ENSSFOG00015007361
paramormyrops_kingsleyae ENSPKIG00000003221
paramormyrops_kingsleyae ENSPKIG00000006431
scleropages_formosus ENSSFOG00015016087
pygocentrus_nattereri ENSPNAG00000021203
astyanax_mexicanus ENSAMXG00000029557
ictalurus_punctatus ENSIPUG00000022381
danio_rerio ENSDARG00000070348
gasterosteus_aculeatus ENSGACG00000009394
monopterus_albus ENSMALG00000004215
seriola_lalandi_dorsalis ENSSLDG00000004036
seriola_dumerili ENSSDUG00000013812
amphiprion_ocellaris ENSAOCG00000024068
amphiprion_percula ENSAPEG00000004031
acanthochromis_polyacanthus ENSAPOG00000019156
stegastes_partitus ENSSPAG00000022287
astatotilapia_calliptera ENSACLG00000006858
maylandia_zebra ENSMZEG00005027184
haplochromis_burtoni ENSHBUG00000005572
pundamilia_nyererei ENSPNYG00000017310
neolamprologus_brichardi ENSNBRG00000018291
oreochromis_niloticus ENSONIG00000012237
amphilophus_citrinellus ENSACIG00000013283
oryzias_latipes ENSORLG00020006681
oryzias_latipes ENSORLG00000007913
oryzias_latipes_asm223469v1 ENSORLG00015022392
oryzias_melastigma ENSOMEG00000016066
labrus_bergylta ENSLBEG00000010336
anabas_testudineus ENSATEG00000022805
mastacembelus_armatus ENSMAMG00000007503
xiphophorus_maculatus ENSXMAG00000028554
xiphophorus_couchianus ENSXCOG00000008575
gambusia_affinis ENSGAFG00000007832
poecilia_formosa ENSPFOG00000002043
poecilia_mexicana ENSPMEG00000000023
poecilia_reticulata ENSPREG00000020349
poecilia_latipinna ENSPLAG00000000295
fundulus_heteroclitus ENSFHEG00000023355
cyprinodon_variegatus ENSCVAG00000012737
kryptolebias_marmoratus ENSKMAG00000020972
scophthalmus_maximus ENSSMAG00000004507
mola_mola ENSMMOG00000009302
tetraodon_nigroviridis ENSTNIG00000017168
tetraodon_nigroviridis ENSTNIG00000017167
tetraodon_nigroviridis ENSTNIG00000015049
takifugu_rubripes ENSTRUG00000021631
hippocampus_comes ENSHCOG00000019646
gadus_morhua ENSGMOG00000017875
esox_lucius ENSELUG00000007508
anser_brachyrhynchus ENSABRG00000020680
anas_platyrhynchos_platyrhynchos ENSAPLG00000007155
meleagris_gallopavo ENSMGAG00000006255
coturnix_japonica ENSCJPG00005007702
gallus_gallus ENSGALG00000029393
calidris_pygmaea ENSCPGG00000012021
calidris_pugnax ENSCPUG00000003387
serinus_canaria ENSSCAG00000005237
dromaius_novaehollandiae ENSDNVG00000005601
nothoprocta_perdicaria ENSNPEG00000003065
crocodylus_porosus ENSCPRG00005006832
pelodiscus_sinensis ENSPSIG00000004830
pogona_vitticeps ENSPVIG00000006883
anolis_carolinensis ENSACAG00000010855
notechis_scutatus ENSNSUG00000002979
salvator_merianae ENSSMRG00000002587
chelonoidis_abingdonii ENSCABG00000004674
gopherus_agassizii ENSGAGG00000006955
chrysemys_picta_bellii ENSCPBG00000000340
manacus_vitellinus ENSMVIG00005009823
lepidothrix_coronata ENSLCOG00000000104
taeniopygia_guttata ENSTGUG00000014511
melopsittacus_undulatus ENSMUNG00000009006
apteryx_owenii ENSAOWG00000002649
apteryx_haastii ENSAHAG00000011365
apteryx_rowi ENSARWG00000005383
sphenodon_punctatus ENSSPUG00000010788
phascolarctos_cinereus ENSPCIG00000006695
notamacropus_eugenii ENSMEUG00000001975
sarcophilus_harrisii ENSSHAG00000006601
canis_lupus_dingo ENSCAFG00020020660
