lonchura_striata_domestica ENSLSDG00000007654
serinus_canaria ENSSCAG00000010781
junco_hyemalis ENSJHYG00000008998
zonotrichia_albicollis ENSZALG00000009525
parus_major ENSPMJG00000014447
cyanistes_caeruleus ENSCCEG00000013446
manacus_vitellinus ENSMVIG00005010378
melopsittacus_undulatus ENSMUNG00000003893
calidris_pygmaea ENSCPGG00000016352
anser_brachyrhynchus ENSABRG00000016183
anas_platyrhynchos_platyrhynchos ENSAPLG00000024780
coturnix_japonica ENSCJPG00005020988
gallus_gallus ENSGALG00000021113
meleagris_gallopavo ENSMGAG00000008782
numida_meleagris ENSNMEG00000020487
apteryx_rowi ENSARWG00000001933
apteryx_haastii ENSAHAG00000007712
apteryx_owenii ENSAOWG00000008646
