poecilia_mexicana ENSPMEG00000019101
gambusia_affinis ENSGAFG00000002631
xiphophorus_couchianus ENSXCOG00000014285
fundulus_heteroclitus ENSFHEG00000019606
acanthochromis_polyacanthus ENSAPOG00000014082
chrysemys_picta_bellii ENSCPBG00000010369
chelonoidis_abingdonii ENSCABG00000021779
zonotrichia_albicollis ENSZALG00000017273
pan_troglodytes ENSPTRG00000049942
rhinopithecus_bieti ENSRBIG00000036571
ovis_aries ENSOARG00000008082
equus_asinus_asinus ENSEASG00005018701
ursus_americanus ENSUAMG00000017207
ursus_maritimus ENSUMAG00000001818
