xiphophorus_maculatus ENSXMAG00000016943
gambusia_affinis ENSGAFG00000000412
poecilia_mexicana ENSPMEG00000005188
poecilia_latipinna ENSPLAG00000007442
poecilia_formosa ENSPFOG00000006756
cyprinodon_variegatus ENSCVAG00000000057
fundulus_heteroclitus ENSFHEG00000021192
kryptolebias_marmoratus ENSKMAG00000002539
oryzias_latipes ENSORLG00000017759
oryzias_latipes_asm223469v1 ENSORLG00015005800
oryzias_latipes ENSORLG00020006034
oryzias_melastigma ENSOMEG00000010243
maylandia_zebra ENSMZEG00005023547
astatotilapia_calliptera ENSACLG00000014410
pundamilia_nyererei ENSPNYG00000016929
neolamprologus_brichardi ENSNBRG00000008680
haplochromis_burtoni ENSHBUG00000011095
oreochromis_niloticus ENSONIG00000009284
amphilophus_citrinellus ENSACIG00000019582
takifugu_rubripes ENSTRUG00000012881
tetraodon_nigroviridis ENSTNIG00000018629
mola_mola ENSMMOG00000011525
gasterosteus_aculeatus ENSGACG00000017188
labrus_bergylta ENSLBEG00000016309
scophthalmus_maximus ENSSMAG00000016976
cynoglossus_semilaevis ENSCSEG00000013084
anabas_testudineus ENSATEG00000002373
periophthalmus_magnuspinnatus ENSPMGG00000000202
monopterus_albus ENSMALG00000020649
mastacembelus_armatus ENSMAMG00000017689
amphiprion_ocellaris ENSAOCG00000016467
amphiprion_percula ENSAPEG00000024645
acanthochromis_polyacanthus ENSAPOG00000009609
stegastes_partitus ENSSPAG00000016077
seriola_lalandi_dorsalis ENSSLDG00000015309
seriola_dumerili ENSSDUG00000015332
hippocampus_comes ENSHCOG00000014179
gadus_morhua ENSGMOG00000001519
pygocentrus_nattereri ENSPNAG00000002518
astyanax_mexicanus ENSAMXG00000043516
ictalurus_punctatus ENSIPUG00000007835
danio_rerio ENSDARG00000104961
paramormyrops_kingsleyae ENSPKIG00000001952
