poecilia_mexicana ENSPMEG00000021782
poecilia_latipinna ENSPLAG00000018404
xiphophorus_maculatus ENSXMAG00000028280
cyprinodon_variegatus ENSCVAG00000015672
oryzias_latipes ENSORLG00000022407
oryzias_latipes ENSORLG00020005503
maylandia_zebra ENSMZEG00005006283
pundamilia_nyererei ENSPNYG00000004855
acanthochromis_polyacanthus ENSAPOG00000007577
gouania_willdenowi ENSGWIG00000001553
seriola_dumerili ENSSDUG00000012785
seriola_lalandi ENSSLDG00000001192
periophthalmus_magnuspinnatus ENSPMGG00000022397
pygocentrus_nattereri ENSPNAG00000029148
astyanax_mexicanus ENSAMXG00000040555
paramormyrops_kingsleyae ENSPKIG00000021617
mesocricetus_auratus ENSMAUG00000017460
cavia_porcellus ENSCPOG00000025148
