rhinopithecus_roxellana ENSRROG00000045213
rhinopithecus_bieti ENSRBIG00000032200
colobus_angolensis_palliatus ENSCANG00000040440
macaca_mulatta ENSMMUG00000008382
macaca_nemestrina ENSMNEG00000030987
macaca_fascicularis ENSMFAG00000041419
papio_anubis ENSPANG00000023085
mandrillus_leucophaeus ENSMLEG00000036161
cercocebus_atys ENSCATG00000001282
pan_paniscus ENSPPAG00000012197
pan_troglodytes ENSPTRG00000043370
gorilla_gorilla ENSGGOG00000027508
pongo_abelii ENSPPYG00000002155
erinaceus_europaeus ENSEEUG00000006264
sorex_araneus ENSSARG00000013503
echinops_telfairi ENSETEG00000015569
