pan_troglodytes ENSPTRG00000012656
microtus_ochrogaster ENSMOCG00000014660
choloepus_hoffmanni ENSCHOG00000002861
ursus_maritimus ENSUMAG00000015473
monodelphis_domestica ENSMODG00000029255
latimeria_chalumnae ENSLACG00000000298
zonotrichia_albicollis ENSZALG00000017685
xiphophorus_maculatus ENSXMAG00000028091
xiphophorus_couchianus ENSXCOG00000014075
poecilia_mexicana ENSPMEG00000010630
poecilia_reticulata ENSPREG00000006923
gambusia_affinis ENSGAFG00000008967
fundulus_heteroclitus ENSFHEG00000011361
oryzias_melastigma ENSOMEG00000001574
haplochromis_burtoni ENSHBUG00000017927
stegastes_partitus ENSSPAG00000013827
monopterus_albus ENSMALG00000021718
mastacembelus_armatus ENSMAMG00000022371
takifugu_rubripes ENSTRUG00000010261
tetraodon_nigroviridis ENSTNIG00000009845
labrus_bergylta ENSLBEG00000006252
seriola_lalandi_dorsalis ENSSLDG00000007980
