cyprinodon_variegatus ENSCVAG00000003220
fundulus_heteroclitus ENSFHEG00000008517
poecilia_latipinna ENSPLAG00000017858
poecilia_latipinna ENSPLAG00000017873
poecilia_reticulata ENSPREG00000002484
poecilia_mexicana ENSPMEG00000006687
poecilia_formosa ENSPFOG00000024378
gambusia_affinis ENSGAFG00000001986
xiphophorus_maculatus ENSXMAG00000026592
kryptolebias_marmoratus ENSKMAG00000002152
oryzias_latipes ENSORLG00015016980
oryzias_latipes ENSORLG00000030195
oryzias_latipes ENSORLG00020009756
oryzias_melastigma ENSOMEG00000008781
stegastes_partitus ENSSPAG00000013845
acanthochromis_polyacanthus ENSAPOG00000013327
gouania_willdenowi ENSGWIG00000013558
hippocampus_comes ENSHCOG00000006987
scophthalmus_maximus ENSSMAG00000020395
cynoglossus_semilaevis ENSCSEG00000011444
betta_splendens ENSBSLG00000018473
mola_mola ENSMMOG00000014495
seriola_lalandi ENSSLDG00000000302
seriola_dumerili ENSSDUG00000020310
lates_calcarifer ENSLCAG00010018902
monopterus_albus ENSMALG00000010921
anabas_testudineus ENSATEG00000007445
mastacembelus_armatus ENSMAMG00000003338
larimichthys_crocea ENSLCRG00005010607
labrus_bergylta ENSLBEG00000023878
cottoperca_gobio ENSCGOG00000003406
maylandia_zebra ENSMZEG00005026394
haplochromis_burtoni ENSHBUG00000023305
pundamilia_nyererei ENSPNYG00000017586
neolamprologus_brichardi ENSNBRG00000012991
oreochromis_niloticus ENSONIG00000013532
amphilophus_citrinellus ENSACIG00000013698
parambassis_ranga ENSPRNG00000010713
