taeniopygia_guttata ENSTGUG00000004374
lonchura_striata_domestica ENSLSDG00000003290
zonotrichia_albicollis ENSZALG00000015216
junco_hyemalis ENSJHYG00000016560
serinus_canaria ENSSCAG00000011724
ficedula_albicollis ENSFALG00000002745
parus_major ENSPMJG00000019271
cyanistes_caeruleus ENSCCEG00000022667
manacus_vitellinus ENSMVIG00005015748
lepidothrix_coronata ENSLCOG00000012894
melopsittacus_undulatus ENSMUNG00000009861
calidris_pygmaea ENSCPGG00000003816
calidris_pugnax ENSCPUG00000001348
anser_brachyrhynchus ENSABRG00000013084
anas_platyrhynchos_platyrhynchos ENSAPLG00000022812
gallus_gallus ENSGALG00000002216
coturnix_japonica ENSCJPG00005021114
meleagris_gallopavo ENSMGAG00000005825
numida_meleagris ENSNMEG00000020201
apteryx_haastii ENSAHAG00000015860
apteryx_owenii ENSAOWG00000002726
apteryx_rowi ENSARWG00000001614
nothoprocta_perdicaria ENSNPEG00000005328
dromaius_novaehollandiae ENSDNVG00000007779
crocodylus_porosus ENSCPRG00005017858
gopherus_agassizii ENSGAGG00000020254
chrysemys_picta_bellii ENSCPBG00000028276
chelonoidis_abingdonii ENSCABG00000001722
pelodiscus_sinensis ENSPSIG00000011684
anolis_carolinensis ENSACAG00000014482
pogona_vitticeps ENSPVIG00000007189
notechis_scutatus ENSNSUG00000006215
salvator_merianae ENSSMRG00000014451
sphenodon_punctatus ENSSPUG00000002199
notamacropus_eugenii ENSMEUG00000008111
phascolarctos_cinereus ENSPCIG00000035912
sarcophilus_harrisii ENSSHAG00000013655
monodelphis_domestica ENSMODG00000012789
octodon_degus ENSODEG00000011591
chinchilla_lanigera ENSCLAG00000012012
heterocephalus_glaber_male ENSHGLG00100006467
heterocephalus_glaber_female ENSHGLG00000003278
fukomys_damarensis ENSFDAG00000017702
cavia_porcellus ENSCPOG00000026154
castor_canadensis ENSCCNG00000006609
pan_troglodytes ENSPTRG00000001815
pan_paniscus ENSPPAG00000030102
homo_sapiens ENSG00000151414
gorilla_gorilla ENSGGOG00000044218
pongo_abelii ENSPPYG00000000383
nomascus_leucogenys ENSNLEG00000018063
rhinopithecus_roxellana ENSRROG00000045194
rhinopithecus_bieti ENSRBIG00000037137
piliocolobus_tephrosceles ENSPTEG00000039130
colobus_angolensis_palliatus ENSCANG00000028649
mandrillus_leucophaeus ENSMLEG00000029476
papio_anubis ENSPANG00000015264
macaca_mulatta ENSMMUG00000021649
macaca_fascicularis ENSMFAG00000042183
cercocebus_atys ENSCATG00000023608
theropithecus_gelada ENSTGEG00000023092
chlorocebus_sabaeus ENSCSAG00000013647
saimiri_boliviensis_boliviensis ENSSBOG00000032078
cebus_capucinus ENSCCAG00000021532
callithrix_jacchus ENSCJAG00000004930
cebus_capucinus ENSCCAG00000029793
aotus_nancymaae ENSANAG00000025514
carlito_syrichta ENSTSYG00000004270
erinaceus_europaeus ENSEEUG00000005929
loxodonta_africana ENSLAFG00000005184
procavia_capensis ENSPCAG00000003697
oryctolagus_cuniculus ENSOCUG00000011419
urocitellus_parryii ENSUPAG00010002784
