serinus_canaria ENSSCAG00000002186
pogona_vitticeps ENSPVIG00000015562
nothoprocta_perdicaria ENSNPEG00000015240
apteryx_haastii ENSAHAG00000018829
meleagris_gallopavo ENSMGAG00000013822
neovison_vison ENSNVIG00000020854
anolis_carolinensis ENSACAG00000026768
anolis_carolinensis ENSACAG00000004080
notechis_scutatus ENSNSUG00000015234
salvator_merianae ENSSMRG00000007847
calidris_pygmaea ENSCPGG00000001565
melopsittacus_undulatus ENSMUNG00000012927
calidris_pugnax ENSCPUG00000017513
junco_hyemalis ENSJHYG00000010133
ficedula_albicollis ENSFALG00000001688
parus_major ENSPMJG00000013910
cyanistes_caeruleus ENSCCEG00000022321
lonchura_striata_domestica ENSLSDG00000014325
taeniopygia_guttata ENSTGUG00000013231
manacus_vitellinus ENSMVIG00005008905
lepidothrix_coronata ENSLCOG00000008566
apteryx_owenii ENSAOWG00000003156
dromaius_novaehollandiae ENSDNVG00000003997
apteryx_rowi ENSARWG00000007511
anser_brachyrhynchus ENSABRG00000023111
anas_platyrhynchos_platyrhynchos ENSAPLG00000011063
gallus_gallus ENSGALG00000012466
coturnix_japonica ENSCJPG00005012233
numida_meleagris ENSNMEG00000019972
chelonoidis_abingdonii ENSCABG00000021152
gopherus_agassizii ENSGAGG00000007070
chrysemys_picta_bellii ENSCPBG00000015100
crocodylus_porosus ENSCPRG00005011236
octodon_degus ENSODEG00000018821
octodon_degus ENSODEG00000019217
octodon_degus ENSODEG00000012211
octodon_degus ENSODEG00000018726
octodon_degus ENSODEG00000020156
cavia_porcellus ENSCPOG00000031983
chinchilla_lanigera ENSCLAG00000016970
heterocephalus_glaber_female ENSHGLG00000012484
heterocephalus_glaber_female ENSHGLG00000002191
heterocephalus_glaber_male ENSHGLG00100006129
fukomys_damarensis ENSFDAG00000016359
jaculus_jaculus ENSJJAG00000016834
otolemur_garnettii ENSOGAG00000003012
saimiri_boliviensis_boliviensis ENSSBOG00000033978
saimiri_boliviensis_boliviensis ENSSBOG00000027812
cebus_capucinus ENSCCAG00000021448
callithrix_jacchus ENSCJAG00000015972
aotus_nancymaae ENSANAG00000020220
piliocolobus_tephrosceles ENSPTEG00000002524
piliocolobus_tephrosceles ENSPTEG00000025278
macaca_fascicularis ENSMFAG00000034611
macaca_mulatta ENSMMUG00000046953
theropithecus_gelada ENSTGEG00000006367
chlorocebus_sabaeus ENSCSAG00000015323
rhinopithecus_bieti ENSRBIG00000044224
nomascus_leucogenys ENSNLEG00000004392
macaca_mulatta ENSMMUG00000016512
macaca_fascicularis ENSMFAG00000000044
cercocebus_atys ENSCATG00000030662
rhinopithecus_bieti ENSRBIG00000028220
rhinopithecus_roxellana ENSRROG00000018609
papio_anubis ENSPANG00000026275
macaca_nemestrina ENSMNEG00000026591
colobus_angolensis_palliatus ENSCANG00000032358
chlorocebus_sabaeus ENSCSAG00000000600
pongo_abelii ENSPPYG00000005778
pan_troglodytes ENSPTRG00000006305
pan_paniscus ENSPPAG00000033157
homo_sapiens ENSG00000100442
gorilla_gorilla ENSGGOG00000013322
cercocebus_atys ENSCATG00000040713
papio_anubis ENSPANG00000024204
macaca_mulatta ENSMMUG00000042228
theropithecus_gelada ENSTGEG00000022264
rhinopithecus_bieti ENSRBIG00000028578
piliocolobus_tephrosceles ENSPTEG00000017344
