equus_caballus ENSECAG00000028615
equus_asinus_asinus ENSEASG00005017585
erinaceus_europaeus ENSEEUG00000007864
canis_lupus_dingo ENSCAFG00020018674
canis_lupus_familiaris ENSCAFG00000014695
vulpes_vulpes ENSVVUG00000014577
neovison_vison ENSNVIG00000024239
ursus_americanus ENSUAMG00000009976
ursus_maritimus ENSUMAG00000019957
ailuropoda_melanoleuca ENSAMEG00000015505
panthera_pardus ENSPPRG00000000954
panthera_tigris_altaica ENSPTIG00000009201
felis_catus ENSFCAG00000037366
pteropus_vampyrus ENSPVAG00000005716
myotis_lucifugus ENSMLUG00000009438
capra_hircus ENSCHIG00000016777
ovis_aries ENSOARG00000014029
bos_mutus ENSBMUG00000021763
bos_taurus ENSBTAG00000051882
bison_bison_bison ENSBBBG00000006015
sus_scrofa ENSSSCG00000031550
tursiops_truncatus ENSTTRG00000016914
vicugna_pacos ENSVPAG00000007426
heterocephalus_glaber_male ENSHGLG00100000888
heterocephalus_glaber_female ENSHGLG00000003566
chinchilla_lanigera ENSCLAG00000011095
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015575
mus_musculus ENSMUSG00000086277
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014768
mus_pahari MGP_PahariEiJ_G0028005
rattus_norvegicus ENSRNOG00000026523
meriones_unguiculatus ENSMUGG00000016385
cricetulus_griseus_crigri ENSCGRG00000009573
cricetulus_griseus_chok1gshd ENSCGRG00001012607
cricetulus_griseus_crigri-picr ENSCGRG00015011432
mesocricetus_auratus ENSMAUG00000022155
microtus_ochrogaster ENSMOCG00000000623
peromyscus_maniculatus_bairdii ENSPEMG00000025431
ictidomys_tridecemlineatus ENSSTOG00000029696
urocitellus_parryii ENSUPAG00010001419
castor_canadensis ENSCCNG00000022467
oryctolagus_cuniculus ENSOCUG00000029014
ochotona_princeps ENSOPRG00000014870
prolemur_simus ENSPSMG00000010089
propithecus_coquereli ENSPCOG00000025017
saimiri_boliviensis_boliviensis ENSSBOG00000033157
cebus_capucinus ENSCCAG00000020778
callithrix_jacchus ENSCJAG00000009537
aotus_nancymaae ENSANAG00000034709
homo_sapiens ENSG00000180999
gorilla_gorilla ENSGGOG00000006809
pan_paniscus ENSPPAG00000040695
pan_troglodytes ENSPTRG00000001687
pongo_abelii ENSPPYG00000000505
nomascus_leucogenys ENSNLEG00000015241
colobus_angolensis_palliatus ENSCANG00000030977
piliocolobus_tephrosceles ENSPTEG00000015015
rhinopithecus_bieti ENSRBIG00000044286
rhinopithecus_roxellana ENSRROG00000030848
macaca_nemestrina ENSMNEG00000045481
macaca_fascicularis ENSMFAG00000000294
macaca_mulatta ENSMMUG00000007278
theropithecus_gelada ENSTGEG00000004635
cercocebus_atys ENSCATG00000014650
mandrillus_leucophaeus ENSMLEG00000032843
papio_anubis ENSPANG00000030704
carlito_syrichta ENSTSYG00000003080
tupaia_belangeri ENSTBEG00000013845
choloepus_hoffmanni ENSCHOG00000009612
dasypus_novemcinctus ENSDNOG00000014179
procavia_capensis ENSPCAG00000002251
echinops_telfairi ENSETEG00000020275
