pan_paniscus ENSPPAG00000011488
pan_troglodytes ENSPTRG00000002198
gorilla_gorilla ENSGGOG00000004835
homo_sapiens ENSG00000162711
pongo_abelii ENSPPYG00000000036
nomascus_leucogenys ENSNLEG00000004263
macaca_mulatta ENSMMUG00000005946
macaca_fascicularis ENSMFAG00000038424
macaca_nemestrina ENSMNEG00000043987
chlorocebus_sabaeus ENSCSAG00000009000
papio_anubis ENSPANG00000013614
theropithecus_gelada ENSTGEG00000019051
mandrillus_leucophaeus ENSMLEG00000034499
cercocebus_atys ENSCATG00000029371
piliocolobus_tephrosceles ENSPTEG00000003907
colobus_angolensis_palliatus ENSCANG00000041944
rhinopithecus_roxellana ENSRROG00000045800
rhinopithecus_bieti ENSRBIG00000026835
cebus_capucinus ENSCCAG00000014168
saimiri_boliviensis_boliviensis ENSSBOG00000030084
callithrix_jacchus ENSCJAG00000011813
aotus_nancymaae ENSANAG00000030863
carlito_syrichta ENSTSYG00000004045
propithecus_coquereli ENSPCOG00000018258
microcebus_murinus ENSMICG00000001110
prolemur_simus ENSPSMG00000023146
otolemur_garnettii ENSOGAG00000007471
castor_canadensis ENSCCNG00000013809
dipodomys_ordii ENSDORG00000010673
mus_spicilegus ENSMSIG00000020937
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017274
mus_musculus ENSMUSG00000032691
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016439
mus_pahari MGP_PahariEiJ_G0017569
rattus_norvegicus ENSRNOG00000003170
meriones_unguiculatus ENSMUGG00000009993
peromyscus_maniculatus_bairdii ENSPEMG00000018349
microtus_ochrogaster ENSMOCG00000022962
cricetulus_griseus_crigri ENSCGRG00000016221
cricetulus_griseus_chok1gshd ENSCGRG00001021138
cricetulus_griseus_crigri-picr ENSCGRG00015018147
mesocricetus_auratus ENSMAUG00000020051
nannospalax_galili ENSNGAG00000013972
jaculus_jaculus ENSJJAG00000007323
ochotona_princeps ENSOPRG00000010175
ochotona_princeps ENSOPRG00000014095
oryctolagus_cuniculus ENSOCUG00000005455
chinchilla_lanigera ENSCLAG00000000708
octodon_degus ENSODEG00000001033
cavia_porcellus ENSCPOG00000007681
cavia_aperea ENSCAPG00000002466
fukomys_damarensis ENSFDAG00000012003
urocitellus_parryii ENSUPAG00010014117
ictidomys_tridecemlineatus ENSSTOG00000010228
marmota_marmota_marmota ENSMMMG00000017362
tupaia_belangeri ENSTBEG00000013498
equus_asinus_asinus ENSEASG00005017967
equus_caballus ENSECAG00000015382
erinaceus_europaeus ENSEEUG00000015695
ursus_maritimus ENSUMAG00000017377
ursus_americanus ENSUAMG00000009822
ailuropoda_melanoleuca ENSAMEG00000016947
mustela_putorius_furo ENSMPUG00000012286
neovison_vison ENSNVIG00000003292
neovison_vison ENSNVIG00000002633
canis_lupus_familiaris ENSCAFG00000010686
canis_lupus_dingo ENSCAFG00020021492
vulpes_vulpes ENSVVUG00000024716
panthera_pardus ENSPPRG00000009909
panthera_tigris_altaica ENSPTIG00000021706
felis_catus ENSFCAG00000009344
ovis_aries ENSOARG00000007591
capra_hircus ENSCHIG00000023246
bos_taurus ENSBTAG00000001273
bos_mutus ENSBMUG00000018522
bison_bison_bison ENSBBBG00000011376
tursiops_truncatus ENSTTRG00000013577
sus_scrofa ENSSSCG00000013940
myotis_lucifugus ENSMLUG00000014375
pteropus_vampyrus ENSPVAG00000006026
dasypus_novemcinctus ENSDNOG00000005939
loxodonta_africana ENSLAFG00000001047
echinops_telfairi ENSETEG00000015753
pogona_vitticeps ENSPVIG00000008055
