astatotilapia_calliptera ENSACLG00000003051
maylandia_zebra ENSMZEG00005013997
neolamprologus_brichardi ENSNBRG00000012889
gambusia_affinis ENSGAFG00000000046
gambusia_affinis ENSGAFG00000000044
poecilia_latipinna ENSPLAG00000009854
poecilia_mexicana ENSPMEG00000011628
poecilia_latipinna ENSPLAG00000003176
xiphophorus_couchianus ENSXCOG00000011037
anabas_testudineus ENSATEG00000008332
anabas_testudineus ENSATEG00000022984
anabas_testudineus ENSATEG00000006763
anabas_testudineus ENSATEG00000022834
anabas_testudineus ENSATEG00000007272
anabas_testudineus ENSATEG00000004837
anabas_testudineus ENSATEG00000014977
anabas_testudineus ENSATEG00000004822
anabas_testudineus ENSATEG00000016333
anabas_testudineus ENSATEG00000010817
anabas_testudineus ENSATEG00000004761
anabas_testudineus ENSATEG00000022293
