mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032279
mus_spicilegus ENSMSIG00000032073
mus_musculus ENSMUSG00000095026
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031161
mus_pahari MGP_PahariEiJ_G0021626
rattus_norvegicus ENSRNOG00000043249
meriones_unguiculatus ENSMUGG00000013871
cricetulus_griseus_crigri-picr ENSCGRG00015000984
cricetulus_griseus_crigri ENSCGRG00000012502
cricetulus_griseus_chok1gshd ENSCGRG00001023238
mesocricetus_auratus ENSMAUG00000001502
microtus_ochrogaster ENSMOCG00000017470
peromyscus_maniculatus_bairdii ENSPEMG00000010765
nannospalax_galili ENSNGAG00000014618
jaculus_jaculus ENSJJAG00000010785
cavia_aperea ENSCAPG00000017058
cavia_porcellus ENSCPOG00000035754
ictidomys_tridecemlineatus ENSSTOG00000033779
marmota_marmota_marmota ENSMMMG00000001330
spermophilus_dauricus ENSSDAG00000010155
homo_sapiens ENSG00000284797
pongo_abelii ENSPPYG00000029846
theropithecus_gelada ENSTGEG00000014035
macaca_mulatta ENSMMUG00000045498
chlorocebus_sabaeus ENSCSAG00000005372
piliocolobus_tephrosceles ENSPTEG00000030287
capra_hircus ENSCHIG00000008980
ovis_aries ENSOARG00000012690
bos_taurus ENSBTAG00000033886
bos_mutus ENSBMUG00000012196
bison_bison_bison ENSBBBG00000010662
sus_scrofa ENSSSCG00000013902
equus_caballus ENSECAG00000032603
equus_asinus_asinus ENSEASG00005006232
