ailuropoda_melanoleuca ENSAMEG00000017748
ursus_maritimus ENSUMAG00000007979
neovison_vison ENSNVIG00000017955
canis_lupus_familiaris ENSCAFG00000014019
panthera_pardus ENSPPRG00000003807
bos_mutus ENSBMUG00000003803
bison_bison_bison ENSBBBG00000008780
ovis_aries ENSOARG00000011309
myotis_lucifugus ENSMLUG00000015317
rhinopithecus_bieti ENSRBIG00000039146
piliocolobus_tephrosceles ENSPTEG00000022524
macaca_mulatta ENSMMUG00000031163
macaca_nemestrina ENSMNEG00000036399
macaca_fascicularis ENSMFAG00000001100
cercocebus_atys ENSCATG00000002772
papio_anubis ENSPANG00000004413
chlorocebus_sabaeus ENSCSAG00000007545
nomascus_leucogenys ENSNLEG00000034594
gorilla_gorilla ENSGGOG00000000363
saimiri_boliviensis_boliviensis ENSSBOG00000028192
microcebus_murinus ENSMICG00000001268
chinchilla_lanigera ENSCLAG00000016695
octodon_degus ENSODEG00000015626
cavia_porcellus ENSCPOG00000010188
cavia_aperea ENSCAPG00000012305
heterocephalus_glaber_female ENSHGLG00000012767
heterocephalus_glaber_male ENSHGLG00100014255
fukomys_damarensis ENSFDAG00000002804
urocitellus_parryii ENSUPAG00010010423
ictidomys_tridecemlineatus ENSSTOG00000009884
marmota_marmota_marmota ENSMMMG00000009467
castor_canadensis ENSCCNG00000024961
dipodomys_ordii ENSDORG00000011719
microtus_ochrogaster ENSMOCG00000011923
peromyscus_maniculatus_bairdii ENSPEMG00000010851
cricetulus_griseus_crigri ENSCGRG00000001432
cricetulus_griseus_crigri-picr ENSCGRG00015013902
cricetulus_griseus_chok1gshd ENSCGRG00001022292
mesocricetus_auratus ENSMAUG00000016453
mus_spicilegus ENSMSIG00000030177
mus_musculus ENSMUSG00000024786
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023510
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022599
mus_pahari MGP_PahariEiJ_G0014093
rattus_norvegicus ENSRNOG00000054336
meriones_unguiculatus ENSMUGG00000020164
nannospalax_galili ENSNGAG00000009571
jaculus_jaculus ENSJJAG00000024211
loxodonta_africana ENSLAFG00000008074
dasypus_novemcinctus ENSDNOG00000006152
mustela_putorius_furo ENSMPUG00000012476
sus_scrofa ENSSSCG00000040674
sorex_araneus ENSSARG00000010689
oryctolagus_cuniculus ENSOCUG00000014253
tursiops_truncatus ENSTTRG00000008899
vicugna_pacos ENSVPAG00000002336
pteropus_vampyrus ENSPVAG00000007896
felis_catus ENSFCAG00000012243
propithecus_coquereli ENSPCOG00000006717
otolemur_garnettii ENSOGAG00000014965
colobus_angolensis_palliatus ENSCANG00000041902
rhinopithecus_roxellana ENSRROG00000031976
theropithecus_gelada ENSTGEG00000010352
mandrillus_leucophaeus ENSMLEG00000031869
pan_troglodytes ENSPTRG00000003855
pan_paniscus ENSPPAG00000000163
homo_sapiens ENSG00000168070
pongo_abelii ENSPPYG00000003088
cebus_capucinus ENSCCAG00000034835
callithrix_jacchus ENSCJAG00000002554
aotus_nancymaae ENSANAG00000032059
ochotona_princeps ENSOPRG00000011449
tupaia_belangeri ENSTBEG00000003114
procavia_capensis ENSPCAG00000008253
echinops_telfairi ENSETEG00000010520
sarcophilus_harrisii ENSSHAG00000003978
zonotrichia_albicollis ENSZALG00000004708
junco_hyemalis ENSJHYG00000001838
serinus_canaria ENSSCAG00000010400
manacus_vitellinus ENSMVIG00005019408
anser_brachyrhynchus ENSABRG00000008107
gallus_gallus ENSGALG00000046479
melopsittacus_undulatus ENSMUNG00000010214
nothoprocta_perdicaria ENSNPEG00000014676
lepidothrix_coronata ENSLCOG00000000057
coturnix_japonica ENSCJPG00005014567
dromaius_novaehollandiae ENSDNVG00000006429
chelonoidis_abingdonii ENSCABG00000021293
sphenodon_punctatus ENSSPUG00000013208
pogona_vitticeps ENSPVIG00000016315
latimeria_chalumnae ENSLACG00000022253
ictalurus_punctatus ENSIPUG00000004043
astyanax_mexicanus ENSAMXG00000043365
danio_rerio ENSDARG00000105594
esox_lucius ENSELUG00000012010
poecilia_formosa ENSPFOG00000024621
xiphophorus_maculatus ENSXMAG00000008706
poecilia_reticulata ENSPREG00000020394
gambusia_affinis ENSGAFG00000015052
fundulus_heteroclitus ENSFHEG00000005127
amphiprion_ocellaris ENSAOCG00000020557
seriola_dumerili ENSSDUG00000021360
scophthalmus_maximus ENSSMAG00000017716
scleropages_formosus ENSSFOG00015008266
paramormyrops_kingsleyae ENSPKIG00000024902
