haplochromis_burtoni ENSHBUG00000004060
neolamprologus_brichardi ENSNBRG00000016328
amphilophus_citrinellus ENSACIG00000022852
fundulus_heteroclitus ENSFHEG00000023417
cyprinodon_variegatus ENSCVAG00000022093
xiphophorus_maculatus ENSXMAG00000021832
poecilia_latipinna ENSPLAG00000020228
poecilia_reticulata ENSPREG00000021367
xiphophorus_couchianus ENSXCOG00000008453
poecilia_mexicana ENSPMEG00000010301
gambusia_affinis ENSGAFG00000010264
takifugu_rubripes ENSTRUG00000023133
mola_mola ENSMMOG00000006781
labrus_bergylta ENSLBEG00000009686
periophthalmus_magnuspinnatus ENSPMGG00000000570
periophthalmus_magnuspinnatus ENSPMGG00000008223
hippocampus_comes ENSHCOG00000003576
monopterus_albus ENSMALG00000015512
scleropages_formosus ENSSFOG00015014630
