periophthalmus_magnuspinnatus ENSPMGG00000023315
hippocampus_comes ENSHCOG00000009322
poecilia_latipinna ENSPLAG00000016219
poecilia_reticulata ENSPREG00000022429
poecilia_mexicana ENSPMEG00000010135
kryptolebias_marmoratus ENSKMAG00000006339
oryzias_latipes ENSORLG00000025881
oryzias_latipes_asm223469v1 ENSORLG00015001973
oryzias_melastigma ENSOMEG00000019441
seriola_dumerili ENSSDUG00000011028
seriola_lalandi_dorsalis ENSSLDG00000005327
mola_mola ENSMMOG00000004851
amphiprion_ocellaris ENSAOCG00000013048
amphiprion_percula ENSAPEG00000018639
acanthochromis_polyacanthus ENSAPOG00000006039
stegastes_partitus ENSSPAG00000007926
anabas_testudineus ENSATEG00000020946
scophthalmus_maximus ENSSMAG00000019660
labrus_bergylta ENSLBEG00000013822
haplochromis_burtoni ENSHBUG00000023393
pundamilia_nyererei ENSPNYG00000021781
astatotilapia_calliptera ENSACLG00000003150
maylandia_zebra ENSMZEG00005000325
neolamprologus_brichardi ENSNBRG00000014317
amphilophus_citrinellus ENSACIG00000000889
esox_lucius ENSELUG00000010837
