labrus_bergylta ENSLBEG00000022724
gasterosteus_aculeatus ENSGACG00000002472
monopterus_albus ENSMALG00000020133
mastacembelus_armatus ENSMAMG00000019551
anabas_testudineus ENSATEG00000006584
seriola_lalandi_dorsalis ENSSLDG00000017563
seriola_dumerili ENSSDUG00000007202
takifugu_rubripes ENSTRUG00000003755
tetraodon_nigroviridis ENSTNIG00000003077
mola_mola ENSMMOG00000020591
fundulus_heteroclitus ENSFHEG00000021429
cyprinodon_variegatus ENSCVAG00000012169
poecilia_formosa ENSPFOG00000011460
poecilia_latipinna ENSPLAG00000001334
poecilia_mexicana ENSPMEG00000007721
poecilia_reticulata ENSPREG00000009215
gambusia_affinis ENSGAFG00000004189
xiphophorus_couchianus ENSXCOG00000019991
xiphophorus_maculatus ENSXMAG00000024940
kryptolebias_marmoratus ENSKMAG00000019358
oryzias_latipes ENSORLG00020013745
oryzias_latipes ENSORLG00000008242
oryzias_latipes_asm223469v1 ENSORLG00015000887
oryzias_melastigma ENSOMEG00000002747
amphiprion_percula ENSAPEG00000001322
amphiprion_ocellaris ENSAOCG00000011846
acanthochromis_polyacanthus ENSAPOG00000008660
stegastes_partitus ENSSPAG00000022716
maylandia_zebra ENSMZEG00005019475
astatotilapia_calliptera ENSACLG00000015883
pundamilia_nyererei ENSPNYG00000004432
haplochromis_burtoni ENSHBUG00000009378
neolamprologus_brichardi ENSNBRG00000017465
oreochromis_niloticus ENSONIG00000014016
amphilophus_citrinellus ENSACIG00000003617
cynoglossus_semilaevis ENSCSEG00000015006
hippocampus_comes ENSHCOG00000013264
gadus_morhua ENSGMOG00000018653
esox_lucius ENSELUG00000017004
pygocentrus_nattereri ENSPNAG00000019125
astyanax_mexicanus ENSAMXG00000001755
ictalurus_punctatus ENSIPUG00000008951
danio_rerio ENSDARG00000017605
scleropages_formosus ENSSFOG00015001142
paramormyrops_kingsleyae ENSPKIG00000006311
lepisosteus_oculatus ENSLOCG00000011650
phascolarctos_cinereus ENSPCIG00000010682
notamacropus_eugenii ENSMEUG00000005300
sarcophilus_harrisii ENSSHAG00000002102
monodelphis_domestica ENSMODG00000009826
capra_hircus ENSCHIG00000016849
ovis_aries ENSOARG00000018783
bos_taurus ENSBTAG00000003332
bos_mutus ENSBMUG00000020129
bison_bison_bison ENSBBBG00000002949
sus_scrofa ENSSSCG00000000998
tursiops_truncatus ENSTTRG00000007319
vicugna_pacos ENSVPAG00000004652
erinaceus_europaeus ENSEEUG00000012087
ursus_americanus ENSUAMG00000002159
ursus_maritimus ENSUMAG00000018639
ailuropoda_melanoleuca ENSAMEG00000012938
neovison_vison ENSNVIG00000002376
mustela_putorius_furo ENSMPUG00000000530
canis_lupus_familiaris ENSCAFG00000009435
canis_lupus_dingo ENSCAFG00020013380
vulpes_vulpes ENSVVUG00000005451
panthera_pardus ENSPPRG00000005612
panthera_tigris_altaica ENSPTIG00000018847
felis_catus ENSFCAG00000009249
pteropus_vampyrus ENSPVAG00000011325
myotis_lucifugus ENSMLUG00000000501
