ictidomys_tridecemlineatus ENSSTOG00000025755
urocitellus_parryii ENSUPAG00010002908
spermophilus_dauricus ENSSDAG00000014697
marmota_marmota ENSMMMG00000007882
castor_canadensis ENSCCNG00000010235
heterocephalus_glaber ENSHGLG00100012327
heterocephalus_glaber ENSHGLG00000004109
fukomys_damarensis ENSFDAG00000010176
oryctolagus_cuniculus ENSOCUG00000024447
microcebus_murinus ENSMICG00000045438
prolemur_simus ENSPSMG00000021293
propithecus_coquereli ENSPCOG00000011030
otolemur_garnettii ENSOGAG00000025945
pan_troglodytes ENSPTRG00000050003
homo_sapiens ENSG00000188011
gorilla_gorilla ENSGGOG00000016451
pongo_abelii ENSPPYG00000013362
piliocolobus_tephrosceles ENSPTEG00000037071
colobus_angolensis ENSCANG00000042773
rhinopithecus_bieti ENSRBIG00000029269
rhinopithecus_roxellana ENSRROG00000016782
macaca_fascicularis ENSMFAG00000030682
macaca_mulatta ENSMMUG00000042630
macaca_nemestrina ENSMNEG00000020448
chlorocebus_sabaeus ENSCSAG00000005728
theropithecus_gelada ENSTGEG00000027441
papio_anubis ENSPANG00000016825
mandrillus_leucophaeus ENSMLEG00000027937
cercocebus_atys ENSCATG00000038813
bos_indicus ENSBIXG00000024651
bos_indicus ENSBIXG00005018390
bos_taurus ENSBTAG00000040598
bos_mutus ENSBMUG00000011839
ovis_aries ENSOARG00000000074
tursiops_truncatus ENSTTRG00000008053
sus_scrofa ENSSSCG00000032511
myotis_lucifugus ENSMLUG00000009638
ursus_americanus ENSUAMG00000008494
ursus_maritimus ENSUMAG00000010426
ailuropoda_melanoleuca ENSAMEG00000016370
neovison_vison ENSNVIG00000018518
mustela_putorius ENSMPUG00000000200
canis_lupus ENSCAFG00020025437
canis_lupus ENSCAFG00000013188
vulpes_vulpes ENSVVUG00000022746
panthera_pardus ENSPPRG00000008537
felis_catus ENSFCAG00000048136
equus_caballus ENSECAG00000037242
equus_asinus ENSEASG00005008313
sorex_araneus ENSSARG00000002795
loxodonta_africana ENSLAFG00000028159
procavia_capensis ENSPCAG00000003524
