dipodomys_ordii ENSDORG00000030028
ornithorhynchus_anatinus ENSOANG00000001539
dromaius_novaehollandiae ENSDNVG00000017583
numida_meleagris ENSNMEG00000009149
xenopus_tropicalis ENSXETG00000033246
mastacembelus_armatus ENSMAMG00000023365
hippocampus_comes ENSHCOG00000009536
astatotilapia_calliptera ENSACLG00000014404
maylandia_zebra ENSMZEG00005019180
pundamilia_nyererei ENSPNYG00000015167
haplochromis_burtoni ENSHBUG00000017660
neolamprologus_brichardi ENSNBRG00000022995
oreochromis_niloticus ENSONIG00000014176
amphilophus_citrinellus ENSACIG00000007447
cynoglossus_semilaevis ENSCSEG00000016533
labrus_bergylta ENSLBEG00000028609
amphiprion_percula ENSAPEG00000001011
amphiprion_ocellaris ENSAOCG00000001226
acanthochromis_polyacanthus ENSAPOG00000005934
stegastes_partitus ENSSPAG00000008636
xiphophorus_couchianus ENSXCOG00000001904
xiphophorus_maculatus ENSXMAG00000005001
poecilia_formosa ENSPFOG00000000832
poecilia_mexicana ENSPMEG00000013713
poecilia_latipinna ENSPLAG00000010337
poecilia_reticulata ENSPREG00000017816
gambusia_affinis ENSGAFG00000020042
fundulus_heteroclitus ENSFHEG00000010449
cyprinodon_variegatus ENSCVAG00000005128
kryptolebias_marmoratus ENSKMAG00000021000
oryzias_latipes_asm223469v1 ENSORLG00015019345
oryzias_latipes ENSORLG00020020841
oryzias_melastigma ENSOMEG00000000561
anabas_testudineus ENSATEG00000000075
monopterus_albus ENSMALG00000013643
tetraodon_nigroviridis ENSTNIG00000005626
takifugu_rubripes ENSTRUG00000024087
mola_mola ENSMMOG00000007327
gasterosteus_aculeatus ENSGACG00000019282
seriola_lalandi_dorsalis ENSSLDG00000012968
seriola_dumerili ENSSDUG00000018230
gadus_morhua ENSGMOG00000002225
scleropages_formosus ENSSFOG00015001928
astyanax_mexicanus ENSAMXG00000011344
astyanax_mexicanus ENSAMXG00000039605
pygocentrus_nattereri ENSPNAG00000008818
ictalurus_punctatus ENSIPUG00000016624
danio_rerio ENSDARG00000053136
pygocentrus_nattereri ENSPNAG00000020531
astyanax_mexicanus ENSAMXG00000007283
ictalurus_punctatus ENSIPUG00000007328
danio_rerio ENSDARG00000015887
esox_lucius ENSELUG00000013704
esox_lucius ENSELUG00000024345
paramormyrops_kingsleyae ENSPKIG00000021818
scleropages_formosus ENSSFOG00015016254
paramormyrops_kingsleyae ENSPKIG00000018326
paramormyrops_kingsleyae ENSPKIG00000018342
cynoglossus_semilaevis ENSCSEG00000016505
cynoglossus_semilaevis ENSCSEG00000016525
monopterus_albus ENSMALG00000013637
tetraodon_nigroviridis ENSTNIG00000001604
labrus_bergylta ENSLBEG00000028608
poecilia_formosa ENSPFOG00000009840
poecilia_latipinna ENSPLAG00000020438
poecilia_mexicana ENSPMEG00000012938
poecilia_reticulata ENSPREG00000017753
xiphophorus_maculatus ENSXMAG00000006124
xiphophorus_couchianus ENSXCOG00000005183
gambusia_affinis ENSGAFG00000005733
fundulus_heteroclitus ENSFHEG00000008373
cyprinodon_variegatus ENSCVAG00000002319
kryptolebias_marmoratus ENSKMAG00000019002
oryzias_latipes ENSORLG00020020739
oryzias_latipes_asm223469v1 ENSORLG00015019218
oryzias_latipes ENSORLG00000030625
oryzias_melastigma ENSOMEG00000021236
periophthalmus_magnuspinnatus ENSPMGG00000015118
amphiprion_percula ENSAPEG00000003785
amphiprion_percula ENSAPEG00000008022
amphiprion_ocellaris ENSAOCG00000008919
acanthochromis_polyacanthus ENSAPOG00000010002
stegastes_partitus ENSSPAG00000004463
astatotilapia_calliptera ENSACLG00000014415
maylandia_zebra ENSMZEG00005019181
pundamilia_nyererei ENSPNYG00000015177
haplochromis_burtoni ENSHBUG00000017657
neolamprologus_brichardi ENSNBRG00000023003
amphilophus_citrinellus ENSACIG00000007592
anabas_testudineus ENSATEG00000000081
gasterosteus_aculeatus ENSGACG00000019287
mastacembelus_armatus ENSMAMG00000023368
seriola_lalandi_dorsalis ENSSLDG00000012954
seriola_dumerili ENSSDUG00000018220
scophthalmus_maximus ENSSMAG00000002065
hippocampus_comes ENSHCOG00000008946
