apteryx_rowi ENSARWG00000015795
apteryx_owenii ENSAOWG00000014635
apteryx_haastii ENSAHAG00000009823
dromaius_novaehollandiae ENSDNVG00000005251
nothoprocta_perdicaria ENSNPEG00000010982
coturnix_japonica ENSCJPG00005006063
meleagris_gallopavo ENSMGAG00000000750
numida_meleagris ENSNMEG00000007683
anser_brachyrhynchus ENSABRG00000006108
anas_platyrhynchos_platyrhynchos ENSAPLG00000020930
melopsittacus_undulatus ENSMUNG00000012853
taeniopygia_guttata ENSTGUG00000000067
lonchura_striata_domestica ENSLSDG00000014551
serinus_canaria ENSSCAG00000000739
ficedula_albicollis ENSFALG00000011912
junco_hyemalis ENSJHYG00000014405
lepidothrix_coronata ENSLCOG00000007205
manacus_vitellinus ENSMVIG00005019689
calidris_pygmaea ENSCPGG00000018411
calidris_pugnax ENSCPUG00000012934
salvator_merianae ENSSMRG00000006947
pogona_vitticeps ENSPVIG00000023066
gopherus_agassizii ENSGAGG00000001532
chrysemys_picta_bellii ENSCPBG00000021317
pelodiscus_sinensis ENSPSIG00000017149
scleropages_formosus ENSSFOG00015006728
ornithorhynchus_anatinus ENSOANG00000009196
phascolarctos_cinereus ENSPCIG00000030454
monodelphis_domestica ENSMODG00000004722
notechis_scutatus ENSNSUG00000010085
latimeria_chalumnae ENSLACG00000015700
bos_taurus ENSBTAG00000004521
bison_bison_bison ENSBBBG00000024293
ovis_aries ENSOARG00000014013
capra_hircus ENSCHIG00000023663
equus_caballus ENSECAG00000001440
ursus_americanus ENSUAMG00000000912
ursus_maritimus ENSUMAG00000006556
ailuropoda_melanoleuca ENSAMEG00000005484
canis_lupus_familiaris ENSCAFG00000019409
canis_lupus_dingo ENSCAFG00020018168
neovison_vison ENSNVIG00000005237
panthera_tigris_altaica ENSPTIG00000016252
panthera_pardus ENSPPRG00000008624
felis_catus ENSFCAG00000003445
myotis_lucifugus ENSMLUG00000013097
myotis_lucifugus ENSMLUG00000024002
sus_scrofa ENSSSCG00000013463
otolemur_garnettii ENSOGAG00000000144
otolemur_garnettii ENSOGAG00000024373
echinops_telfairi ENSETEG00000012788
spermophilus_dauricus ENSSDAG00000007484
ictidomys_tridecemlineatus ENSSTOG00000028372
octodon_degus ENSODEG00000013590
octodon_degus ENSODEG00000018769
octodon_degus ENSODEG00000008190
chinchilla_lanigera ENSCLAG00000011635
cavia_porcellus ENSCPOG00000014025
cavia_aperea ENSCAPG00000014534
heterocephalus_glaber_female ENSHGLG00000010587
heterocephalus_glaber_male ENSHGLG00100000852
fukomys_damarensis ENSFDAG00000007661
dipodomys_ordii ENSDORG00000024460
microcebus_murinus ENSMICG00000028619
