latimeria_chalumnae ENSLACG00000018358
xenopus_tropicalis ENSXETG00000022057
scleropages_formosus ENSSFOG00015014022
paramormyrops_kingsleyae ENSPKIG00000019818
paramormyrops_kingsleyae ENSPKIG00000019360
paramormyrops_kingsleyae ENSPKIG00000019319
scleropages_formosus ENSSFOG00015017074
periophthalmus_magnuspinnatus ENSPMGG00000011305
periophthalmus_magnuspinnatus ENSPMGG00000011308
takifugu_rubripes ENSTRUG00000006251
tetraodon_nigroviridis ENSTNIG00000010230
mola_mola ENSMMOG00000000022
cynoglossus_semilaevis ENSCSEG00000011809
xiphophorus_maculatus ENSXMAG00000018180
xiphophorus_couchianus ENSXCOG00000018163
gambusia_affinis ENSGAFG00000002194
poecilia_formosa ENSPFOG00000016953
poecilia_latipinna ENSPLAG00000001330
poecilia_mexicana ENSPMEG00000017111
poecilia_reticulata ENSPREG00000005265
fundulus_heteroclitus ENSFHEG00000014118
cyprinodon_variegatus ENSCVAG00000015859
kryptolebias_marmoratus ENSKMAG00000016840
labrus_bergylta ENSLBEG00000000986
hippocampus_comes ENSHCOG00000020267
gasterosteus_aculeatus ENSGACG00000016500
monopterus_albus ENSMALG00000011652
monopterus_albus ENSMALG00000018779
mastacembelus_armatus ENSMAMG00000001393
mastacembelus_armatus ENSMAMG00000001829
mastacembelus_armatus ENSMAMG00000001504
anabas_testudineus ENSATEG00000000896
pundamilia_nyererei ENSPNYG00000001115
haplochromis_burtoni ENSHBUG00000002507
maylandia_zebra ENSMZEG00005008151
astatotilapia_calliptera ENSACLG00000014038
oreochromis_niloticus ENSONIG00000002611
neolamprologus_brichardi ENSNBRG00000011702
amphilophus_citrinellus ENSACIG00000016724
oryzias_latipes ENSORLG00020001537
oryzias_latipes ENSORLG00000012746
oryzias_latipes_asm223469v1 ENSORLG00015021116
oryzias_melastigma ENSOMEG00000014236
amphiprion_percula ENSAPEG00000000737
amphiprion_ocellaris ENSAOCG00000024599
acanthochromis_polyacanthus ENSAPOG00000021801
stegastes_partitus ENSSPAG00000004971
seriola_dumerili ENSSDUG00000004380
seriola_lalandi_dorsalis ENSSLDG00000002436
scophthalmus_maximus ENSSMAG00000007608
gadus_morhua ENSGMOG00000017502
esox_lucius ENSELUG00000004428
esox_lucius ENSELUG00000004461
esox_lucius ENSELUG00000001690
pygocentrus_nattereri ENSPNAG00000025651
astyanax_mexicanus ENSAMXG00000040086
ictalurus_punctatus ENSIPUG00000017419
danio_rerio ENSDARG00000036232
lepisosteus_oculatus ENSLOCG00000013042
phascolarctos_cinereus ENSPCIG00000025799
notamacropus_eugenii ENSMEUG00000011535
sarcophilus_harrisii ENSSHAG00000012617
monodelphis_domestica ENSMODG00000002196
pan_troglodytes ENSPTRG00000007068
pan_paniscus ENSPPAG00000035135
homo_sapiens ENSG00000092439
gorilla_gorilla ENSGGOG00000027678
pongo_abelii ENSPPYG00000006471
nomascus_leucogenys ENSNLEG00000006292
macaca_nemestrina ENSMNEG00000034322
macaca_fascicularis ENSMFAG00000031753
macaca_mulatta ENSMMUG00000008575
theropithecus_gelada ENSTGEG00000013155
cercocebus_atys ENSCATG00000038396
papio_anubis ENSPANG00000017547
mandrillus_leucophaeus ENSMLEG00000033742
chlorocebus_sabaeus ENSCSAG00000011086
piliocolobus_tephrosceles ENSPTEG00000008957
colobus_angolensis_palliatus ENSCANG00000007259
rhinopithecus_roxellana ENSRROG00000032172
rhinopithecus_bieti ENSRBIG00000035887
saimiri_boliviensis_boliviensis ENSSBOG00000030864
cebus_capucinus ENSCCAG00000020168
callithrix_jacchus ENSCJAG00000001322
aotus_nancymaae ENSANAG00000035495
carlito_syrichta ENSTSYG00000007596
propithecus_coquereli ENSPCOG00000028104
microcebus_murinus ENSMICG00000010294
prolemur_simus ENSPSMG00000018555
otolemur_garnettii ENSOGAG00000012316
castor_canadensis ENSCCNG00000027592
