saimiri_boliviensis_boliviensis ENSSBOG00000035750
cebus_capucinus ENSCCAG00000011359
aotus_nancymaae ENSANAG00000026509
pan_paniscus ENSPPAG00000034722
pan_troglodytes ENSPTRG00000047105
gorilla_gorilla ENSGGOG00000043660
pan_troglodytes ENSPTRG00000045139
pan_paniscus ENSPPAG00000024066
gorilla_gorilla ENSGGOG00000042762
gorilla_gorilla ENSGGOG00000040550
pan_troglodytes ENSPTRG00000047057
pan_paniscus ENSPPAG00000028638
gorilla_gorilla ENSGGOG00000043716
nomascus_leucogenys ENSNLEG00000033982
rhinopithecus_bieti ENSRBIG00000031260
rhinopithecus_roxellana ENSRROG00000030895
colobus_angolensis_palliatus ENSCANG00000035755
macaca_nemestrina ENSMNEG00000033494
macaca_fascicularis ENSMFAG00000038072
papio_anubis ENSPANG00000034780
mandrillus_leucophaeus ENSMLEG00000022771
cercocebus_atys ENSCATG00000013183
