otolemur_garnettii ENSOGAG00000001828
prolemur_simus ENSPSMG00000006540
bos_taurus ENSBTAG00000005017
bos_taurus ENSBTAG00000053658
capra_hircus ENSCHIG00000002926
ursus_americanus ENSUAMG00000011383
homo_sapiens ENSG00000175787
gorilla_gorilla ENSGGOG00000025313
pan_troglodytes ENSPTRG00000021131
pan_paniscus ENSPPAG00000037304
pongo_abelii ENSPPYG00000019396
nomascus_leucogenys ENSNLEG00000016651
macaca_nemestrina ENSMNEG00000043173
macaca_fascicularis ENSMFAG00000000435
macaca_mulatta ENSMMUG00000015805
theropithecus_gelada ENSTGEG00000003528
papio_anubis ENSPANG00000024689
mandrillus_leucophaeus ENSMLEG00000034320
chlorocebus_sabaeus ENSCSAG00000007022
cercocebus_atys ENSCATG00000029989
colobus_angolensis_palliatus ENSCANG00000031497
piliocolobus_tephrosceles ENSPTEG00000038641
rhinopithecus_bieti ENSRBIG00000030438
rhinopithecus_roxellana ENSRROG00000007947
saimiri_boliviensis_boliviensis ENSSBOG00000028455
cebus_capucinus ENSCCAG00000018084
aotus_nancymaae ENSANAG00000030924
microcebus_murinus ENSMICG00000003159
cricetulus_griseus_chok1gshd ENSCGRG00001010605
cricetulus_griseus_crigri-picr ENSCGRG00015002444
cricetulus_griseus_crigri ENSCGRG00000008602
mesocricetus_auratus ENSMAUG00000001288
peromyscus_maniculatus_bairdii ENSPEMG00000000674
microtus_ochrogaster ENSMOCG00000010681
mus_spicilegus ENSMSIG00000031389
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019371
mus_musculus ENSMUSG00000050954
mus_pahari MGP_PahariEiJ_G0019559
rattus_norvegicus ENSRNOG00000017092
meriones_unguiculatus ENSMUGG00000014770
equus_caballus ENSECAG00000011164
pteropus_vampyrus ENSPVAG00000000617
bison_bison_bison ENSBBBG00000011860
bos_mutus ENSBMUG00000010636
ovis_aries ENSOARG00000007946
tursiops_truncatus ENSTTRG00000000478
sus_scrofa ENSSSCG00000032834
vicugna_pacos ENSVPAG00000012387
ursus_maritimus ENSUMAG00000016185
ailuropoda_melanoleuca ENSAMEG00000011696
neovison_vison ENSNVIG00000014736
mustela_putorius_furo ENSMPUG00000004379
canis_lupus_familiaris ENSCAFG00000002224
canis_lupus_dingo ENSCAFG00020007507
vulpes_vulpes ENSVVUG00000005795
panthera_tigris_altaica ENSPTIG00000014296
panthera_pardus ENSPPRG00000007709
felis_catus ENSFCAG00000038394
propithecus_coquereli ENSPCOG00000005004
equus_asinus_asinus ENSEASG00005013913
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018491
