canis_lupus_dingo ENSCAFG00020023110
ursus_americanus ENSUAMG00000018210
panthera_tigris_altaica ENSPTIG00000020103
panthera_pardus ENSPPRG00000000200
felis_catus ENSFCAG00000040644
sus_scrofa ENSSSCG00000036934
mus_spicilegus ENSMSIG00000015727
dipodomys_ordii ENSDORG00000023309
pan_troglodytes ENSPTRG00000043795
pan_troglodytes ENSPTRG00000051933
pan_paniscus ENSPPAG00000000038
mandrillus_leucophaeus ENSMLEG00000027421
propithecus_coquereli ENSPCOG00000027738
phascolarctos_cinereus ENSPCIG00000035468
coturnix_japonica ENSCJPG00005011014
manacus_vitellinus ENSMVIG00005009105
calidris_pygmaea ENSCPGG00000006562
