xiphophorus_couchianus ENSXCOG00000012890
xiphophorus_maculatus ENSXMAG00000022703
gambusia_affinis ENSGAFG00000011042
poecilia_latipinna ENSPLAG00000023874
poecilia_formosa ENSPFOG00000021958
poecilia_mexicana ENSPMEG00000005212
poecilia_reticulata ENSPREG00000004693
fundulus_heteroclitus ENSFHEG00000019281
cyprinodon_variegatus ENSCVAG00000018719
kryptolebias_marmoratus ENSKMAG00000009717
oryzias_latipes ENSORLG00020021373
oryzias_latipes ENSORLG00000024634
oryzias_latipes_asm223469v1 ENSORLG00015019551
oryzias_melastigma ENSOMEG00000005494
amphiprion_ocellaris ENSAOCG00000014899
amphiprion_percula ENSAPEG00000004808
stegastes_partitus ENSSPAG00000017929
acanthochromis_polyacanthus ENSAPOG00000006615
maylandia_zebra ENSMZEG00005009536
astatotilapia_calliptera ENSACLG00000013586
pundamilia_nyererei ENSPNYG00000018985
haplochromis_burtoni ENSHBUG00000022497
neolamprologus_brichardi ENSNBRG00000021786
amphilophus_citrinellus ENSACIG00000001413
anabas_testudineus ENSATEG00000014370
mastacembelus_armatus ENSMAMG00000008017
periophthalmus_magnuspinnatus ENSPMGG00000004277
monopterus_albus ENSMALG00000003893
scophthalmus_maximus ENSSMAG00000011204
seriola_dumerili ENSSDUG00000003845
mola_mola ENSMMOG00000002643
takifugu_rubripes ENSTRUG00000024979
