cricetulus_griseus_chok1gshd ENSCGRG00001015691
cricetulus_griseus_crigri-picr ENSCGRG00015027726
cricetulus_griseus_crigri ENSCGRG00000009330
mesocricetus_auratus ENSMAUG00000011706
peromyscus_maniculatus_bairdii ENSPEMG00000022260
microtus_ochrogaster ENSMOCG00000007675
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029237
mus_spicilegus ENSMSIG00000004359
mus_musculus ENSMUSG00000071537
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028238
mus_pahari MGP_PahariEiJ_G0021995
rattus_norvegicus ENSRNOG00000006814
meriones_unguiculatus ENSMUGG00000013514
nannospalax_galili ENSNGAG00000016229
dipodomys_ordii ENSDORG00000012027
spermophilus_dauricus ENSSDAG00000024649
urocitellus_parryii ENSUPAG00010015492
marmota_marmota_marmota ENSMMMG00000011796
ochotona_princeps ENSOPRG00000008929
echinops_telfairi ENSETEG00000015695
procavia_capensis ENSPCAG00000007161
propithecus_coquereli ENSPCOG00000020022
microcebus_murinus ENSMICG00000028565
otolemur_garnettii ENSOGAG00000029695
cebus_capucinus ENSCCAG00000027319
saimiri_boliviensis_boliviensis ENSSBOG00000030495
callithrix_jacchus ENSCJAG00000032351
aotus_nancymaae ENSANAG00000032234
pan_troglodytes ENSPTRG00000019756
pan_paniscus ENSPPAG00000043167
homo_sapiens ENSG00000188883
pongo_abelii ENSPPYG00000018049
nomascus_leucogenys ENSNLEG00000014199
rhinopithecus_bieti ENSRBIG00000040594
rhinopithecus_roxellana ENSRROG00000003075
colobus_angolensis_palliatus ENSCANG00000025679
theropithecus_gelada ENSTGEG00000026606
papio_anubis ENSPANG00000025362
cercocebus_atys ENSCATG00000016932
macaca_nemestrina ENSMNEG00000031887
macaca_fascicularis ENSMFAG00000000430
chlorocebus_sabaeus ENSCSAG00000008399
castor_canadensis ENSCCNG00000005031
ovis_aries ENSOARG00000011560
bos_taurus ENSBTAG00000017793
tursiops_truncatus ENSTTRG00000015153
sus_scrofa ENSSSCG00000016506
canis_lupus_familiaris ENSCAFG00000031165
canis_lupus_familiaris ENSCAFG00000030021
canis_lupus_dingo ENSCAFG00020022227
ailuropoda_melanoleuca ENSAMEG00000017901
panthera_pardus ENSPPRG00000024739
felis_catus ENSFCAG00000044414
equus_asinus_asinus ENSEASG00005009936
myotis_lucifugus ENSMLUG00000014768
prolemur_simus ENSPSMG00000016680
mustela_putorius_furo ENSMPUG00000003762
dasypus_novemcinctus ENSDNOG00000046939
phascolarctos_cinereus ENSPCIG00000023028
monodelphis_domestica ENSMODG00000013737
notamacropus_eugenii ENSMEUG00000008865
