bos_taurus ENSBTAG00000007444
bos_mutus ENSBMUG00000004721
bison_bison_bison ENSBBBG00000004121
capra_hircus ENSCHIG00000012652
ovis_aries ENSOARG00000014484
sus_scrofa ENSSSCG00000038281
equus_asinus_asinus ENSEASG00005007837
equus_caballus ENSECAG00000021533
mustela_putorius_furo ENSMPUG00000001048
neovison_vison ENSNVIG00000004133
ailuropoda_melanoleuca ENSAMEG00000008430
ursus_maritimus ENSUMAG00000016079
canis_lupus_familiaris ENSCAFG00000032403
canis_lupus_dingo ENSCAFG00020026280
vulpes_vulpes ENSVVUG00000014733
panthera_tigris_altaica ENSPTIG00000012878
panthera_pardus ENSPPRG00000014673
felis_catus ENSFCAG00000027357
microcebus_murinus ENSMICG00000038209
propithecus_coquereli ENSPCOG00000022793
prolemur_simus ENSPSMG00000005469
carlito_syrichta ENSTSYG00000029360
urocitellus_parryii ENSUPAG00010003166
ictidomys_tridecemlineatus ENSSTOG00000025232
mus_spicilegus ENSMSIG00000012654
rattus_norvegicus ENSRNOG00000001584
mesocricetus_auratus ENSMAUG00000017921
cricetulus_griseus_crigri-picr ENSCGRG00015000194
microtus_ochrogaster ENSMOCG00000009595
nannospalax_galili ENSNGAG00000016448
jaculus_jaculus ENSJJAG00000005688
dipodomys_ordii ENSDORG00000023367
cavia_porcellus ENSCPOG00000035962
fukomys_damarensis ENSFDAG00000000365
oryctolagus_cuniculus ENSOCUG00000021153
macaca_nemestrina ENSMNEG00000034062
macaca_mulatta ENSMMUG00000003024
theropithecus_gelada ENSTGEG00000028149
papio_anubis ENSPANG00000009924
cercocebus_atys ENSCATG00000037607
chlorocebus_sabaeus ENSCSAG00000009187
rhinopithecus_bieti ENSRBIG00000034148
rhinopithecus_roxellana ENSRROG00000039000
piliocolobus_tephrosceles ENSPTEG00000026367
callithrix_jacchus ENSCJAG00000048605
otolemur_garnettii ENSOGAG00000004676
tursiops_truncatus ENSTTRG00000006729
vicugna_pacos ENSVPAG00000012416
erinaceus_europaeus ENSEEUG00000001973
pteropus_vampyrus ENSPVAG00000003583
macaca_fascicularis ENSMFAG00000035512
mandrillus_leucophaeus ENSMLEG00000015885
colobus_angolensis_palliatus ENSCANG00000029236
pan_troglodytes ENSPTRG00000013823
pan_paniscus ENSPPAG00000028382
homo_sapiens ENSG00000156265
gorilla_gorilla ENSGGOG00000024236
pongo_abelii ENSPPYG00000011319
nomascus_leucogenys ENSNLEG00000034888
cebus_capucinus ENSCCAG00000015386
saimiri_boliviensis_boliviensis ENSSBOG00000021433
aotus_nancymaae ENSANAG00000029900
loxodonta_africana ENSLAFG00000004994
dasypus_novemcinctus ENSDNOG00000034410
anas_platyrhynchos_platyrhynchos ENSAPLG00000004718
meleagris_gallopavo ENSMGAG00000014507
xenopus_tropicalis ENSXETG00000020265
