vicugna_pacos ENSVPAG00000006644
sus_scrofa ENSSSCG00000035276
bos_taurus ENSBTAG00000016770
bos_mutus ENSBMUG00000004866
bison_bison_bison ENSBBBG00000015005
capra_hircus ENSCHIG00000010671
ovis_aries ENSOARG00000005459
tursiops_truncatus ENSTTRG00000011660
ursus_americanus ENSUAMG00000020920
ursus_maritimus ENSUMAG00000009032
ailuropoda_melanoleuca ENSAMEG00000019221
neovison_vison ENSNVIG00000008627
canis_lupus_familiaris ENSCAFG00000007004
canis_lupus_dingo ENSCAFG00020023918
vulpes_vulpes ENSVVUG00000021709
panthera_tigris_altaica ENSPTIG00000006431
panthera_pardus ENSPPRG00000021514
felis_catus ENSFCAG00000044395
pteropus_vampyrus ENSPVAG00000001792
equus_caballus ENSECAG00000006350
erinaceus_europaeus ENSEEUG00000001218
castor_canadensis ENSCCNG00000020110
dipodomys_ordii ENSDORG00000025775
mus_musculus ENSMUSG00000046006
mus_spicilegus ENSMSIG00000015941
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019762
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018883
mus_pahari MGP_PahariEiJ_G0015954
rattus_norvegicus ENSRNOG00000026989
meriones_unguiculatus ENSMUGG00000002322
cricetulus_griseus_crigri-picr ENSCGRG00015001795
cricetulus_griseus_chok1gshd ENSCGRG00001006579
peromyscus_maniculatus_bairdii ENSPEMG00000026359
microtus_ochrogaster ENSMOCG00000021676
nannospalax_galili ENSNGAG00000001764
spermophilus_dauricus ENSSDAG00000015345
spermophilus_dauricus ENSSDAG00000015339
urocitellus_parryii ENSUPAG00010004489
marmota_marmota_marmota ENSMMMG00000008343
oryctolagus_cuniculus ENSOCUG00000021351
ochotona_princeps ENSOPRG00000003925
prolemur_simus ENSPSMG00000016433
otolemur_garnettii ENSOGAG00000014464
pan_paniscus ENSPPAG00000025071
pan_troglodytes ENSPTRG00000028710
gorilla_gorilla ENSGGOG00000012725
homo_sapiens ENSG00000175857
pongo_abelii ENSPPYG00000015484
macaca_mulatta ENSMMUG00000005180
theropithecus_gelada ENSTGEG00000014570
chlorocebus_sabaeus ENSCSAG00000019002
piliocolobus_tephrosceles ENSPTEG00000017938
callithrix_jacchus ENSCJAG00000047410
tupaia_belangeri ENSTBEG00000016601
loxodonta_africana ENSLAFG00000012279
echinops_telfairi ENSETEG00000020188
choloepus_hoffmanni ENSCHOG00000000673
dasypus_novemcinctus ENSDNOG00000019179
sarcophilus_harrisii ENSSHAG00000015548
monodelphis_domestica ENSMODG00000019563
