chelonoidis_abingdonii ENSCABG00000006823
gopherus_agassizii ENSGAGG00000023989
chrysemys_picta ENSCPBG00000026202
pelodiscus_sinensis ENSPSIG00000000374
apteryx_haastii ENSAHAG00000014982
apteryx_owenii ENSAOWG00000006837
apteryx_rowi ENSARWG00000011031
dromaius_novaehollandiae ENSDNVG00000001340
nothoprocta_perdicaria ENSNPEG00000007331
anser_brachyrhynchus ENSABRG00000012881
anas_platyrhynchos ENSAPLG00000011241
gallus_gallus ENSGALG00000010139
meleagris_gallopavo ENSMGAG00000012545
coturnix_japonica ENSCJPG00005019088
numida_meleagris ENSNMEG00000022339
cyanistes_caeruleus ENSCCEG00000019529
parus_major ENSPMJG00000016680
serinus_canaria ENSSCAG00000010385
taeniopygia_guttata ENSTGUG00000012024
lonchura_striata ENSLSDG00000002511
ficedula_albicollis ENSFALG00000015219
junco_hyemalis ENSJHYG00000010647
zonotrichia_albicollis ENSZALG00000002564
manacus_vitellinus ENSMVIG00005002560
lepidothrix_coronata ENSLCOG00000015978
melopsittacus_undulatus ENSMUNG00000010229
calidris_pygmaea ENSCPGG00000005235
calidris_pugnax ENSCPUG00000002011
crocodylus_porosus ENSCPRG00005003900
notechis_scutatus ENSNSUG00000003206
pogona_vitticeps ENSPVIG00000004673
salvator_merianae ENSSMRG00000012704
macaca_fascicularis ENSMFAG00000009385
macaca_mulatta ENSMMUG00000039337
macaca_nemestrina ENSMNEG00000011071
chlorocebus_sabaeus ENSCSAG00000019402
mandrillus_leucophaeus ENSMLEG00000016891
cercocebus_atys ENSCATG00000021900
papio_anubis ENSPANG00000013464
theropithecus_gelada ENSTGEG00000003943
colobus_angolensis ENSCANG00000015295
piliocolobus_tephrosceles ENSPTEG00000006863
rhinopithecus_roxellana ENSRROG00000038180
rhinopithecus_bieti ENSRBIG00000030241
pan_troglodytes ENSPTRG00000043424
pan_paniscus ENSPPAG00000007349
homo_sapiens ENSG00000139874
gorilla_gorilla ENSGGOG00000012937
pongo_abelii ENSPPYG00000005761
cebus_capucinus ENSCCAG00000000427
callithrix_jacchus ENSCJAG00000041259
saimiri_boliviensis ENSSBOG00000019308
aotus_nancymaae ENSANAG00000018511
carlito_syrichta ENSTSYG00000025642
propithecus_coquereli ENSPCOG00000025461
microcebus_murinus ENSMICG00000047915
prolemur_simus ENSPSMG00000001672
otolemur_garnettii ENSOGAG00000008554
heterocephalus_glaber ENSHGLG00000020532
heterocephalus_glaber ENSHGLG00100020418
fukomys_damarensis ENSFDAG00000019257
cavia_porcellus ENSCPOG00000003720
chinchilla_lanigera ENSCLAG00000013879
octodon_degus ENSODEG00000019331
spermophilus_dauricus ENSSDAG00000020275
spermophilus_dauricus ENSSDAG00000020262
urocitellus_parryii ENSUPAG00010021508
ictidomys_tridecemlineatus ENSSTOG00000026645
marmota_marmota ENSMMMG00000005443
castor_canadensis ENSCCNG00000029152
dipodomys_ordii ENSDORG00000015028
mus_spretus MGP_SPRETEiJ_G0018619
mus_spicilegus ENSMSIG00000004290
mus_musculus ENSMUSG00000035431
mus_caroli MGP_CAROLIEiJ_G0017774
mus_pahari MGP_PahariEiJ_G0029530
rattus_norvegicus ENSRNOG00000048145
meriones_unguiculatus ENSMUGG00000018387
peromyscus_maniculatus ENSPEMG00000027830
microtus_ochrogaster ENSMOCG00000018730
cricetulus_griseus ENSCGRG00015010415
cricetulus_griseus ENSCGRG00001011700
cricetulus_griseus ENSCGRG00000014698
mesocricetus_auratus ENSMAUG00000001543
nannospalax_galili ENSNGAG00000017836
jaculus_jaculus ENSJJAG00000012239
oryctolagus_cuniculus ENSOCUG00000008670
tupaia_belangeri ENSTBEG00000013119
tursiops_truncatus ENSTTRG00000003528
sus_scrofa ENSSSCG00000001938
capra_hircus ENSCHIG00000006157
ovis_aries ENSOARG00000017551
bos_taurus ENSBTAG00000006582
bos_mutus ENSBMUG00000016112
bison_bison ENSBBBG00000025468
ursus_maritimus ENSUMAG00000008405
ursus_americanus ENSUAMG00000003135
ailuropoda_melanoleuca ENSAMEG00000018831
neovison_vison ENSNVIG00000005183
mustela_putorius ENSMPUG00000019561
panthera_pardus ENSPPRG00000018501
panthera_tigris ENSPTIG00000018276
felis_catus ENSFCAG00000009489
canis_lupus ENSCAFG00000013755
canis_lupus ENSCAFG00020022254
vulpes_vulpes ENSVVUG00000020940
equus_caballus ENSECAG00000004716
equus_asinus ENSEASG00005007612
myotis_lucifugus ENSMLUG00000003045
erinaceus_europaeus ENSEEUG00000002520
loxodonta_africana ENSLAFG00000015113
dasypus_novemcinctus ENSDNOG00000000662
notamacropus_eugenii ENSMEUG00000003548
phascolarctos_cinereus ENSPCIG00000019519
monodelphis_domestica ENSMODG00000012009
sarcophilus_harrisii ENSSHAG00000003463
latimeria_chalumnae ENSLACG00000010722
xenopus_tropicalis ENSXETG00000031842
astyanax_mexicanus ENSAMXG00000025379
pygocentrus_nattereri ENSPNAG00000008364
ictalurus_punctatus ENSIPUG00000001536
scleropages_formosus ENSSFOG00015013788
danio_rerio ENSDARG00000104922
esox_lucius ENSELUG00000003269
paramormyrops_kingsleyae ENSPKIG00000015296
lepisosteus_oculatus ENSLOCG00000017701
seriola_lalandi ENSSLDG00000019104
seriola_dumerili ENSSDUG00000010290
scophthalmus_maximus ENSSMAG00000002537
mastacembelus_armatus ENSMAMG00000004868
amphiprion_percula ENSAPEG00000002188
amphiprion_ocellaris ENSAOCG00000013020
acanthochromis_polyacanthus ENSAPOG00000007870
stegastes_partitus ENSSPAG00000002510
labrus_bergylta ENSLBEG00000018813
petromyzon_marinus ENSPMAG00000010125
