amphilophus_citrinellus ENSACIG00000005274
pundamilia_nyererei ENSPNYG00000013418
maylandia_zebra ENSMZEG00005014914
pundamilia_nyererei ENSPNYG00000013435
astatotilapia_calliptera ENSACLG00000005467
fundulus_heteroclitus ENSFHEG00000009308
poecilia_latipinna ENSPLAG00000013561
oryzias_latipes ENSORLG00000023655
xiphophorus_maculatus ENSXMAG00000026273
xiphophorus_couchianus ENSXCOG00000007166
xiphophorus_maculatus ENSXMAG00000024004
poecilia_mexicana ENSPMEG00000000191
poecilia_reticulata ENSPREG00000020561
poecilia_latipinna ENSPLAG00000013215
poecilia_latipinna ENSPLAG00000021135
xiphophorus_couchianus ENSXCOG00000007059
fundulus_heteroclitus ENSFHEG00000010330
labrus_bergylta ENSLBEG00000001643
labrus_bergylta ENSLBEG00000017060
mastacembelus_armatus ENSMAMG00000011868
mastacembelus_armatus ENSMAMG00000011885
mastacembelus_armatus ENSMAMG00000011889
