scleropages_formosus ENSSFOG00015021480
paramormyrops_kingsleyae ENSPKIG00000010438
poecilia_reticulata ENSPREG00000011522
poecilia_formosa ENSPFOG00000010889
xiphophorus_couchianus ENSXCOG00000018952
gambusia_affinis ENSGAFG00000020174
fundulus_heteroclitus ENSFHEG00000010806
oryzias_melastigma ENSOMEG00000013458
oryzias_latipes ENSORLG00000024856
seriola_lalandi_dorsalis ENSSLDG00000017887
scophthalmus_maximus ENSSMAG00000014112
mastacembelus_armatus ENSMAMG00000005656
monopterus_albus ENSMALG00000017196
anabas_testudineus ENSATEG00000020910
takifugu_rubripes ENSTRUG00000011896
tetraodon_nigroviridis ENSTNIG00000014882
mola_mola ENSMMOG00000020940
stegastes_partitus ENSSPAG00000006786
amphiprion_ocellaris ENSAOCG00000001119
astatotilapia_calliptera ENSACLG00000009715
maylandia_zebra ENSMZEG00005024367
haplochromis_burtoni ENSHBUG00000006720
pundamilia_nyererei ENSPNYG00000006804
neolamprologus_brichardi ENSNBRG00000012961
oreochromis_niloticus ENSONIG00000021246
amphilophus_citrinellus ENSACIG00000008515
periophthalmus_magnuspinnatus ENSPMGG00000015924
esox_lucius ENSELUG00000011797
pygocentrus_nattereri ENSPNAG00000011465
danio_rerio ENSDARG00000038898
lepisosteus_oculatus ENSLOCG00000017734
latimeria_chalumnae ENSLACG00000009969
xenopus_tropicalis ENSXETG00000033543
