bison_bison_bison ENSBBBG00000006731
bos_taurus ENSBTAG00000055070
equus_caballus ENSECAG00000032328
felis_catus ENSFCAG00000036040
canis_lupus_dingo ENSCAFG00020015013
bos_taurus ENSBTAG00000049069
castor_canadensis ENSCCNG00000007525
marmota_marmota_marmota ENSMMMG00000000223
castor_canadensis ENSCCNG00000026863
saimiri_boliviensis_boliviensis ENSSBOG00000026612
callithrix_jacchus ENSCJAG00000040265
piliocolobus_tephrosceles ENSPTEG00000003561
nannospalax_galili ENSNGAG00000016304
octodon_degus ENSODEG00000000911
urocitellus_parryii ENSUPAG00010006448
ursus_maritimus ENSUMAG00000002321
