carlito_syrichta ENSTSYG00000028224
propithecus_coquereli ENSPCOG00000020718
ursus_maritimus ENSUMAG00000003362
ursus_americanus ENSUAMG00000017981
neovison_vison ENSNVIG00000012047
capra_hircus ENSCHIG00000004370
bison_bison_bison ENSBBBG00000010528
vulpes_vulpes ENSVVUG00000013105
canis_lupus_dingo ENSCAFG00020027087
panthera_tigris_altaica ENSPTIG00000005270
panthera_pardus ENSPPRG00000019983
felis_catus ENSFCAG00000038117
sus_scrofa ENSSSCG00000032553
equus_asinus_asinus ENSEASG00005005569
equus_caballus ENSECAG00000040515
