spermophilus_dauricus ENSSDAG00000004326
marmota_marmota ENSMMMG00000000700
oryctolagus_cuniculus ENSOCUG00000015869
oryctolagus_cuniculus ENSOCUG00000008705
macaca_fascicularis ENSMFAG00000044302
macaca_mulatta ENSMMUG00000064584
macaca_fascicularis ENSMFAG00000033361
macaca_fascicularis ENSMFAG00000044028
chlorocebus_sabaeus ENSCSAG00000003574
macaca_nemestrina ENSMNEG00000026104
papio_anubis ENSPANG00000012470
rhinopithecus_roxellana ENSRROG00000033294
rhinopithecus_roxellana ENSRROG00000032282
piliocolobus_tephrosceles ENSPTEG00000035949
colobus_angolensis ENSCANG00000027164
colobus_angolensis ENSCANG00000029792
pan_troglodytes ENSPTRG00000029940
pan_paniscus ENSPPAG00000025107
pan_troglodytes ENSPTRG00000048933
pan_paniscus ENSPPAG00000029742
homo_sapiens ENSG00000220948
pan_troglodytes ENSPTRG00000024137
pan_paniscus ENSPPAG00000028607
homo_sapiens ENSG00000124900
pan_troglodytes ENSPTRG00000043538
pan_paniscus ENSPPAG00000042458
gorilla_gorilla ENSGGOG00000023497
pan_troglodytes ENSPTRG00000048980
pongo_abelii ENSPPYG00000019926
nomascus_leucogenys ENSNLEG00000010496
nomascus_leucogenys ENSNLEG00000010471
nomascus_leucogenys ENSNLEG00000031634
pongo_abelii ENSPPYG00000003762
pongo_abelii ENSPPYG00000012731
macaca_nemestrina ENSMNEG00000044387
colobus_angolensis ENSCANG00000034731
saimiri_boliviensis ENSSBOG00000020924
callithrix_jacchus ENSCJAG00000033850
cebus_capucinus ENSCCAG00000033976
aotus_nancymaae ENSANAG00000025882
aotus_nancymaae ENSANAG00000021553
callithrix_jacchus ENSCJAG00000050888
