marmota_marmota_marmota ENSMMMG00000006778
spermophilus_dauricus ENSSDAG00000007837
cricetulus_griseus_chok1gshd ENSCGRG00001018529
cricetulus_griseus_crigri-picr ENSCGRG00015004061
cricetulus_griseus_crigri ENSCGRG00000017136
microtus_ochrogaster ENSMOCG00000006745
peromyscus_maniculatus_bairdii ENSPEMG00000018803
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017996
mus_musculus ENSMUSG00000043485
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017154
mus_pahari MGP_PahariEiJ_G0018283
rattus_norvegicus ENSRNOG00000051302
meriones_unguiculatus ENSMUGG00000020311
mesocricetus_auratus ENSMAUG00000012068
heterocephalus_glaber_female ENSHGLG00000009618
heterocephalus_glaber_male ENSHGLG00100018930
oryctolagus_cuniculus ENSOCUG00000014195
ochotona_princeps ENSOPRG00000007768
cebus_capucinus ENSCCAG00000030284
callithrix_jacchus ENSCJAG00000043994
aotus_nancymaae ENSANAG00000037613
pan_troglodytes ENSPTRG00000045350
pan_paniscus ENSPPAG00000027792
homo_sapiens ENSG00000131737
gorilla_gorilla ENSGGOG00000043312
nomascus_leucogenys ENSNLEG00000010638
theropithecus_gelada ENSTGEG00000007916
mandrillus_leucophaeus ENSMLEG00000044232
cercocebus_atys ENSCATG00000041156
macaca_mulatta ENSMMUG00000010754
macaca_nemestrina ENSMNEG00000042394
macaca_fascicularis ENSMFAG00000038441
chlorocebus_sabaeus ENSCSAG00000002912
colobus_angolensis_palliatus ENSCANG00000030040
piliocolobus_tephrosceles ENSPTEG00000029973
rhinopithecus_bieti ENSRBIG00000043275
rhinopithecus_roxellana ENSRROG00000037794
carlito_syrichta ENSTSYG00000011074
microcebus_murinus ENSMICG00000034836
prolemur_simus ENSPSMG00000014385
myotis_lucifugus ENSMLUG00000025843
myotis_lucifugus ENSMLUG00000005039
pteropus_vampyrus ENSPVAG00000010610
erinaceus_europaeus ENSEEUG00000000387
bos_taurus ENSBTAG00000037560
bos_mutus ENSBMUG00000019481
procavia_capensis ENSPCAG00000002992
sarcophilus_harrisii ENSSHAG00000006657
