cyanistes_caeruleus ENSCCEG00000015765
zonotrichia_albicollis ENSZALG00000002057
parus_major ENSPMJG00000002215
lonchura_striata_domestica ENSLSDG00000009592
ficedula_albicollis ENSFALG00000010839
junco_hyemalis ENSJHYG00000000798
lepidothrix_coronata ENSLCOG00000013662
calidris_pugnax ENSCPUG00000017134
calidris_pygmaea ENSCPGG00000013591
melopsittacus_undulatus ENSMUNG00000004493
taeniopygia_guttata ENSTGUG00000004824
serinus_canaria ENSSCAG00000007861
manacus_vitellinus ENSMVIG00005000709
anser_brachyrhynchus ENSABRG00000017954
anas_platyrhynchos_platyrhynchos ENSAPLG00000004928
gallus_gallus ENSGALG00000012123
meleagris_gallopavo ENSMGAG00000001533
coturnix_japonica ENSCJPG00005015377
numida_meleagris ENSNMEG00000008694
apteryx_haastii ENSAHAG00000000378
apteryx_owenii ENSAOWG00000013613
apteryx_rowi ENSARWG00000018430
dromaius_novaehollandiae ENSDNVG00000009822
nothoprocta_perdicaria ENSNPEG00000007465
chelonoidis_abingdonii ENSCABG00000012608
chrysemys_picta_bellii ENSCPBG00000011750
gopherus_agassizii ENSGAGG00000009039
pelodiscus_sinensis ENSPSIG00000012748
crocodylus_porosus ENSCPRG00005006810
chelonoidis_abingdonii ENSCABG00000012614
pogona_vitticeps ENSPVIG00000010896
anolis_carolinensis ENSACAG00000002252
notechis_scutatus ENSNSUG00000011766
salvator_merianae ENSSMRG00000001465
sphenodon_punctatus ENSSPUG00000004608
homo_sapiens ENSG00000007372
pan_troglodytes ENSPTRG00000003474
macaca_mulatta ENSMMUG00000016810
chlorocebus_sabaeus ENSCSAG00000005253
otolemur_garnettii ENSOGAG00000007857
erinaceus_europaeus ENSEEUG00000014014
panthera_tigris_altaica ENSPTIG00000006031
ailuropoda_melanoleuca ENSAMEG00000006908
mustela_putorius_furo ENSMPUG00000011295
vulpes_vulpes ENSVVUG00000016482
felis_catus ENSFCAG00000038150
equus_asinus_asinus ENSEASG00005013453
equus_caballus ENSECAG00000021000
sorex_araneus ENSSARG00000011424
pteropus_vampyrus ENSPVAG00000015538
tursiops_truncatus ENSTTRG00000002399
sus_scrofa ENSSSCG00000013320
bos_mutus ENSBMUG00000007750
bos_taurus ENSBTAG00000004561
bison_bison_bison ENSBBBG00000012730
ovis_aries ENSOARG00000016191
saimiri_boliviensis_boliviensis ENSSBOG00000006775
cebus_capucinus ENSCCAG00000027337
pongo_abelii ENSPPYG00000003386
piliocolobus_tephrosceles ENSPTEG00000024616
colobus_angolensis_palliatus ENSCANG00000037406
rhinopithecus_bieti ENSRBIG00000033156
rhinopithecus_roxellana ENSRROG00000035709
papio_anubis ENSPANG00000005448
nomascus_leucogenys ENSNLEG00000033407
pan_paniscus ENSPPAG00000043756
mandrillus_leucophaeus ENSMLEG00000030045
macaca_fascicularis ENSMFAG00000019311
macaca_nemestrina ENSMNEG00000035602
pongo_abelii ENSPPYG00000029808
cercocebus_atys ENSCATG00000036582
theropithecus_gelada ENSTGEG00000005553
gorilla_gorilla ENSGGOG00000010246
callithrix_jacchus ENSCJAG00000005942
aotus_nancymaae ENSANAG00000033670
microcebus_murinus ENSMICG00000004089
ursus_maritimus ENSUMAG00000019552
ursus_americanus ENSUAMG00000000105
canis_lupus_dingo ENSCAFG00020002118
panthera_pardus ENSPPRG00000008832
prolemur_simus ENSPSMG00000014706
propithecus_coquereli ENSPCOG00000027283
neovison_vison ENSNVIG00000004848
capra_hircus ENSCHIG00000023363
myotis_lucifugus ENSMLUG00000006517
castor_canadensis ENSCCNG00000027637
dipodomys_ordii ENSDORG00000000254
mus_spicilegus ENSMSIG00000014511
