colobus_angolensis ENSCANG00000036447
mandrillus_leucophaeus ENSMLEG00000033308
gorilla_gorilla ENSGGOG00000002023
saimiri_boliviensis ENSSBOG00000031856
carlito_syrichta ENSTSYG00000004526
prolemur_simus ENSPSMG00000013345
bos_mutus ENSBMUG00000003397
bison_bison ENSBBBG00000002084
ovis_aries ENSOARG00000020470
panthera_tigris ENSPTIG00000012282
tupaia_belangeri ENSTBEG00000009740
oryctolagus_cuniculus ENSOCUG00000016677
sorex_araneus ENSSARG00000010983
procavia_capensis ENSPCAG00000006023
loxodonta_africana ENSLAFG00000020685
dasypus_novemcinctus ENSDNOG00000014519
microcebus_murinus ENSMICG00000005996
propithecus_coquereli ENSPCOG00000023988
otolemur_garnettii ENSOGAG00000017202
homo_sapiens ENSG00000139154
pongo_abelii ENSPPYG00000004345
nomascus_leucogenys ENSNLEG00000004553
cercocebus_atys ENSCATG00000012414
macaca_mulatta ENSMMUG00000016243
macaca_nemestrina ENSMNEG00000031412
theropithecus_gelada ENSTGEG00000025274
chlorocebus_sabaeus ENSCSAG00000008085
rhinopithecus_roxellana ENSRROG00000036856
piliocolobus_tephrosceles ENSPTEG00000021052
macaca_fascicularis ENSMFAG00000032231
papio_anubis ENSPANG00000010276
rhinopithecus_bieti ENSRBIG00000042288
pan_paniscus ENSPPAG00000031923
pan_troglodytes ENSPTRG00000004747
cebus_capucinus ENSCCAG00000021890
aotus_nancymaae ENSANAG00000031619
callithrix_jacchus ENSCJAG00000001342
heterocephalus_glaber ENSHGLG00000017995
heterocephalus_glaber ENSHGLG00100015572
fukomys_damarensis ENSFDAG00000011585
chinchilla_lanigera ENSCLAG00000014526
cavia_porcellus ENSCPOG00000007440
octodon_degus ENSODEG00000010983
peromyscus_maniculatus ENSPEMG00000015033
microtus_ochrogaster ENSMOCG00000005729
cricetulus_griseus ENSCGRG00015002348
cricetulus_griseus ENSCGRG00000004870
cricetulus_griseus ENSCGRG00001009576
mesocricetus_auratus ENSMAUG00000014717
mus_spretus MGP_SPRETEiJ_G0030072
mus_spicilegus ENSMSIG00000023704
mus_musculus ENSMUSG00000030232
mus_caroli MGP_CAROLIEiJ_G0029023
mus_pahari MGP_PahariEiJ_G0022785
rattus_norvegicus ENSRNOG00000008929
meriones_unguiculatus ENSMUGG00000018561
nannospalax_galili ENSNGAG00000015412
jaculus_jaculus ENSJJAG00000000268
urocitellus_parryii ENSUPAG00010004264
ictidomys_tridecemlineatus ENSSTOG00000013380
marmota_marmota ENSMMMG00000016719
spermophilus_dauricus ENSSDAG00000019304
ochotona_princeps ENSOPRG00000014454
equus_caballus ENSECAG00000012977
equus_asinus ENSEASG00005014175
myotis_lucifugus ENSMLUG00000006293
pteropus_vampyrus ENSPVAG00000008104
bos_indicus ENSBIXG00005000239
bos_indicus ENSBIXG00000026185
bos_taurus ENSBTAG00000010818
capra_hircus ENSCHIG00000025547
sus_scrofa ENSSSCG00000000587
tursiops_truncatus ENSTTRG00000011776
vicugna_pacos ENSVPAG00000008562
panthera_pardus ENSPPRG00000001544
felis_catus ENSFCAG00000031640
ursus_maritimus ENSUMAG00000003598
ursus_americanus ENSUAMG00000028378
ailuropoda_melanoleuca ENSAMEG00000012706
canis_lupus ENSCAFG00000012441
canis_lupus ENSCAFG00020007550
vulpes_vulpes ENSVVUG00000001990
neovison_vison ENSNVIG00000002472
mustela_putorius ENSMPUG00000011420
xenopus_tropicalis ENSXETG00000015157
vombatus_ursinus ENSVURG00010016921
notamacropus_eugenii ENSMEUG00000010574
phascolarctos_cinereus ENSPCIG00000021259
sarcophilus_harrisii ENSSHAG00000018345
monodelphis_domestica ENSMODG00000000587
monodelphis_domestica ENSMODG00000017867
gopherus_agassizii ENSGAGG00000012847
chelonoidis_abingdonii ENSCABG00000008350
chrysemys_picta ENSCPBG00000022682
pelodiscus_sinensis ENSPSIG00000002184
apteryx_owenii ENSAOWG00000007058
apteryx_rowi ENSARWG00000018201
apteryx_haastii ENSAHAG00000002309
dromaius_novaehollandiae ENSDNVG00000003624
