apteryx_haastii ENSAHAG00000002985
manacus_vitellinus ENSMVIG00005004538
chelonoidis_abingdonii ENSCABG00000012364
marmota_marmota_marmota ENSMMMG00000015296
urocitellus_parryii ENSUPAG00010009816
urocitellus_parryii ENSUPAG00010010778
castor_canadensis ENSCCNG00000007431
meriones_unguiculatus ENSMUGG00000024111
piliocolobus_tephrosceles ENSPTEG00000003647
felis_catus ENSFCAG00000042749
panthera_tigris_altaica ENSPTIG00000006465
vulpes_vulpes ENSVVUG00000005383
bos_mutus ENSBMUG00000012873
bos_taurus ENSBTAG00000049019
seriola_lalandi_dorsalis ENSSLDG00000002544
