pongo_abelii ENSPPYG00000004462
homo_sapiens ENSG00000198678
chlorocebus_sabaeus ENSCSAG00000006266
theropithecus_gelada ENSTGEG00000000084
piliocolobus_tephrosceles ENSPTEG00000011499
prolemur_simus ENSPSMG00000006293
tupaia_belangeri ENSTBEG00000016426
tupaia_belangeri ENSTBEG00000006890
fukomys_damarensis ENSFDAG00000000812
fukomys_damarensis ENSFDAG00000004958
cavia_porcellus ENSCPOG00000039913
cavia_porcellus ENSCPOG00000033889
spermophilus_dauricus ENSSDAG00000015591
urocitellus_parryii ENSUPAG00010008767
marmota_marmota_marmota ENSMMMG00000022891
mus_musculus ENSMUSG00000108728
mus_spicilegus ENSMSIG00000000476
meriones_unguiculatus ENSMUGG00000013664
cricetulus_griseus_crigri-picr ENSCGRG00015005321
cricetulus_griseus_crigri ENSCGRG00000005465
cricetulus_griseus_chok1gshd ENSCGRG00001004394
peromyscus_maniculatus_bairdii ENSPEMG00000029296
myotis_lucifugus ENSMLUG00000010889
pteropus_vampyrus ENSPVAG00000017942
neovison_vison ENSNVIG00000007849
mustela_putorius_furo ENSMPUG00000014951
ailuropoda_melanoleuca ENSAMEG00000007376
equus_caballus ENSECAG00000034026
equus_caballus ENSECAG00000030818
equus_caballus ENSECAG00000040317
bos_mutus ENSBMUG00000022792
bos_mutus ENSBMUG00000026653
bos_mutus ENSBMUG00000022798
bison_bison_bison ENSBBBG00000009008
bos_mutus ENSBMUG00000022786
bos_mutus ENSBMUG00000022781
ovis_aries ENSOARG00000019236
sus_scrofa ENSSSCG00000039436
sus_scrofa ENSSSCG00000031438
sus_scrofa ENSSSCG00000033859
sus_scrofa ENSSSCG00000038937
sus_scrofa ENSSSCG00000038078
vicugna_pacos ENSVPAG00000001104
echinops_telfairi ENSETEG00000016131
echinops_telfairi ENSETEG00000005836
procavia_capensis ENSPCAG00000010825
dasypus_novemcinctus ENSDNOG00000047658
dasypus_novemcinctus ENSDNOG00000019635
choloepus_hoffmanni ENSCHOG00000005082
