pteropus_vampyrus ENSPVAG00000012931
myotis_lucifugus ENSMLUG00000011444
bos_taurus ENSBTAG00000031647
bos_mutus ENSBMUG00000019114
bison_bison_bison ENSBBBG00000022289
ovis_aries ENSOARG00000009290
capra_hircus ENSCHIG00000017146
tursiops_truncatus ENSTTRG00000001723
sus_scrofa ENSSSCG00000013514
ursus_americanus ENSUAMG00000019175
ursus_maritimus ENSUMAG00000007832
ailuropoda_melanoleuca ENSAMEG00000001921
mustela_putorius_furo ENSMPUG00000005106
neovison_vison ENSNVIG00000008012
canis_lupus_dingo ENSCAFG00020018656
canis_lupus_familiaris ENSCAFG00000019015
vulpes_vulpes ENSVVUG00000008640
panthera_tigris_altaica ENSPTIG00000014671
panthera_pardus ENSPPRG00000018544
felis_catus ENSFCAG00000045420
equus_asinus_asinus ENSEASG00005022493
equus_caballus ENSECAG00000038107
erinaceus_europaeus ENSEEUG00000004508
pan_paniscus ENSPPAG00000029113
pan_troglodytes ENSPTRG00000010314
homo_sapiens ENSG00000171236
gorilla_gorilla ENSGGOG00000028169
pongo_abelii ENSPPYG00000009411
nomascus_leucogenys ENSNLEG00000032756
cercocebus_atys ENSCATG00000041048
theropithecus_gelada ENSTGEG00000016675
papio_anubis ENSPANG00000017162
mandrillus_leucophaeus ENSMLEG00000039522
macaca_mulatta ENSMMUG00000023701
macaca_nemestrina ENSMNEG00000038483
macaca_fascicularis ENSMFAG00000041654
chlorocebus_sabaeus ENSCSAG00000010487
piliocolobus_tephrosceles ENSPTEG00000024148
colobus_angolensis_palliatus ENSCANG00000032758
rhinopithecus_bieti ENSRBIG00000041211
rhinopithecus_roxellana ENSRROG00000041632
cebus_capucinus ENSCCAG00000017039
saimiri_boliviensis_boliviensis ENSSBOG00000029012
callithrix_jacchus ENSCJAG00000017537
aotus_nancymaae ENSANAG00000030290
carlito_syrichta ENSTSYG00000002570
prolemur_simus ENSPSMG00000020025
propithecus_coquereli ENSPCOG00000028222
microcebus_murinus ENSMICG00000002523
otolemur_garnettii ENSOGAG00000007388
chinchilla_lanigera ENSCLAG00000011801
octodon_degus ENSODEG00000000207
cavia_porcellus ENSCPOG00000002690
heterocephalus_glaber_male ENSHGLG00100015540
heterocephalus_glaber_female ENSHGLG00000008746
fukomys_damarensis ENSFDAG00000010832
urocitellus_parryii ENSUPAG00010009927
ictidomys_tridecemlineatus ENSSTOG00000003007
marmota_marmota_marmota ENSMMMG00000018424
castor_canadensis ENSCCNG00000030228
dipodomys_ordii ENSDORG00000024968
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022678
mus_spicilegus ENSMSIG00000012144
mus_musculus ENSMUSG00000037095
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021766
mus_pahari MGP_PahariEiJ_G0020755
rattus_norvegicus ENSRNOG00000049918
meriones_unguiculatus ENSMUGG00000005116
peromyscus_maniculatus_bairdii ENSPEMG00000014365
microtus_ochrogaster ENSMOCG00000017018
cricetulus_griseus_chok1gshd ENSCGRG00001024126
cricetulus_griseus_crigri-picr ENSCGRG00015003477
cricetulus_griseus_crigri ENSCGRG00000013281
mesocricetus_auratus ENSMAUG00000013924
nannospalax_galili ENSNGAG00000020538
jaculus_jaculus ENSJJAG00000017118
tupaia_belangeri ENSTBEG00000014195
sorex_araneus ENSSARG00000002859
dasypus_novemcinctus ENSDNOG00000018424
ochotona_princeps ENSOPRG00000015034
procavia_capensis ENSPCAG00000010347
echinops_telfairi ENSETEG00000014231
