chrysemys_picta ENSCPBG00000010842
gopherus_agassizii ENSGAGG00000009820
pelodiscus_sinensis ENSPSIG00000003029
crocodylus_porosus ENSCPRG00005018069
nothoprocta_perdicaria ENSNPEG00000010097
anolis_carolinensis ENSACAG00000015745
notechis_scutatus ENSNSUG00000009732
salvator_merianae ENSSMRG00000003649
pogona_vitticeps ENSPVIG00000008669
sphenodon_punctatus ENSSPUG00000012095
pan_troglodytes ENSPTRG00000009738
pan_paniscus ENSPPAG00000018893
homo_sapiens ENSG00000141527
gorilla_gorilla ENSGGOG00000002366
pongo_abelii ENSPPYG00000008715
nomascus_leucogenys ENSNLEG00000015606
macaca_fascicularis ENSMFAG00000034440
macaca_nemestrina ENSMNEG00000036454
macaca_mulatta ENSMMUG00000064603
mandrillus_leucophaeus ENSMLEG00000036863
theropithecus_gelada ENSTGEG00000007567
papio_anubis ENSPANG00000019673
cercocebus_atys ENSCATG00000040812
chlorocebus_sabaeus ENSCSAG00000002333
piliocolobus_tephrosceles ENSPTEG00000033447
colobus_angolensis ENSCANG00000043567
rhinopithecus_bieti ENSRBIG00000039632
rhinopithecus_roxellana ENSRROG00000030649
callithrix_jacchus ENSCJAG00000003412
cebus_capucinus ENSCCAG00000014733
saimiri_boliviensis ENSSBOG00000027401
aotus_nancymaae ENSANAG00000034125
carlito_syrichta ENSTSYG00000013048
propithecus_coquereli ENSPCOG00000000461
prolemur_simus ENSPSMG00000005372
microcebus_murinus ENSMICG00000035846
otolemur_garnettii ENSOGAG00000007499
chinchilla_lanigera ENSCLAG00000004740
octodon_degus ENSODEG00000010087
cavia_aperea ENSCAPG00000012277
cavia_porcellus ENSCPOG00000005182
heterocephalus_glaber ENSHGLG00100003621
heterocephalus_glaber ENSHGLG00000004835
fukomys_damarensis ENSFDAG00000009975
spermophilus_dauricus ENSSDAG00000013513
ictidomys_tridecemlineatus ENSSTOG00000020578
urocitellus_parryii ENSUPAG00010004319
marmota_marmota ENSMMMG00000007269
castor_canadensis ENSCCNG00000010657
dipodomys_ordii ENSDORG00000007869
mus_spicilegus ENSMSIG00000016494
mus_spretus MGP_SPRETEiJ_G0018340
mus_musculus ENSMUSG00000013483
mus_caroli MGP_CAROLIEiJ_G0017496
mus_pahari MGP_PahariEiJ_G0018623
rattus_norvegicus ENSRNOG00000047367
meriones_unguiculatus ENSMUGG00000009990
peromyscus_maniculatus ENSPEMG00000013251
microtus_ochrogaster ENSMOCG00000019143
cricetulus_griseus ENSCGRG00001012254
cricetulus_griseus ENSCGRG00015002695
cricetulus_griseus ENSCGRG00000017828
mesocricetus_auratus ENSMAUG00000019695
nannospalax_galili ENSNGAG00000021431
jaculus_jaculus ENSJJAG00000021113
ovis_aries ENSOARG00000001875
capra_hircus ENSCHIG00000025472
bos_indicus ENSBIXG00000013891
bos_taurus ENSBTAG00000015261
bos_indicus ENSBIXG00005000499
bos_mutus ENSBMUG00000022263
bison_bison ENSBBBG00000018140
tursiops_truncatus ENSTTRG00000000516
sus_scrofa ENSSSCG00000017154
vicugna_pacos ENSVPAG00000011399
myotis_lucifugus ENSMLUG00000001258
pteropus_vampyrus ENSPVAG00000003631
erinaceus_europaeus ENSEEUG00000015559
ursus_americanus ENSUAMG00000027454
ursus_maritimus ENSUMAG00000014945
ailuropoda_melanoleuca ENSAMEG00000015200
neovison_vison ENSNVIG00000014763
mustela_putorius ENSMPUG00000012208
canis_lupus ENSCAFG00000005636
canis_lupus ENSCAFG00020008263
vulpes_vulpes ENSVVUG00000017997
panthera_pardus ENSPPRG00000022727
panthera_tigris ENSPTIG00000009743
felis_catus ENSFCAG00000000941
equus_caballus ENSECAG00000007455
equus_asinus ENSEASG00005005109
dasypus_novemcinctus ENSDNOG00000034830
tupaia_belangeri ENSTBEG00000000406
loxodonta_africana ENSLAFG00000027879
procavia_capensis ENSPCAG00000003003
vombatus_ursinus ENSVURG00010009855
phascolarctos_cinereus ENSPCIG00000029114
notamacropus_eugenii ENSMEUG00000004314
sarcophilus_harrisii ENSSHAG00000003965
monodelphis_domestica ENSMODG00000002213
ornithorhynchus_anatinus ENSOANG00000005231
xenopus_tropicalis ENSXETG00000003752
latimeria_chalumnae ENSLACG00000017738
astyanax_mexicanus ENSAMXG00005000824
astyanax_mexicanus ENSAMXG00000006235
pygocentrus_nattereri ENSPNAG00000027755
ictalurus_punctatus ENSIPUG00000022456
electrophorus_electricus ENSEEEG00000006065
danio_rerio ENSDARG00000103485
clupea_harengus ENSCHAG00000014984
clupea_harengus ENSCHAG00000014755
denticeps_clupeoides ENSDCDG00000015099
hucho_hucho ENSHHUG00000045491
hucho_hucho ENSHHUG00000045482
hucho_hucho ENSHHUG00000052840
esox_lucius ENSELUG00000013573
larimichthys_crocea ENSLCRG00005021868
labrus_bergylta ENSLBEG00000002842
tetraodon_nigroviridis ENSTNIG00000004607
takifugu_rubripes ENSTRUG00000003023
mola_mola ENSMMOG00000006942
gasterosteus_aculeatus ENSGACG00000018220
cottoperca_gobio ENSCGOG00000005846
xiphophorus_maculatus ENSXMAG00000017909
xiphophorus_couchianus ENSXCOG00000011611
gambusia_affinis ENSGAFG00000007833
poecilia_mexicana ENSPMEG00000002041
poecilia_formosa ENSPFOG00000016389
poecilia_latipinna ENSPLAG00000023134
poecilia_reticulata ENSPREG00000002457
cyprinodon_variegatus ENSCVAG00000006885
fundulus_heteroclitus ENSFHEG00000003257
kryptolebias_marmoratus ENSKMAG00000020488
oryzias_latipes ENSORLG00000001884
oryzias_latipes ENSORLG00020014417
oryzias_latipes ENSORLG00015013917
oryzias_melastigma ENSOMEG00000022234
astatotilapia_calliptera ENSACLG00000012728
haplochromis_burtoni ENSHBUG00000012841
maylandia_zebra ENSMZEG00005011150
pundamilia_nyererei ENSPNYG00000004431
neolamprologus_brichardi ENSNBRG00000017999
oreochromis_niloticus ENSONIG00000003444
amphilophus_citrinellus ENSACIG00000024178
amphiprion_ocellaris ENSAOCG00000023147
amphiprion_percula ENSAPEG00000015268
acanthochromis_polyacanthus ENSAPOG00000021754
stegastes_partitus ENSSPAG00000014057
parambassis_ranga ENSPRNG00000003649
gouania_willdenowi ENSGWIG00000016347
monopterus_albus ENSMALG00000021776
mastacembelus_armatus ENSMAMG00000006075
anabas_testudineus ENSATEG00000023414
betta_splendens ENSBSLG00000017037
scophthalmus_maximus ENSSMAG00000011645
cynoglossus_semilaevis ENSCSEG00000014828
lates_calcarifer ENSLCAG00010010996
seriola_lalandi ENSSLDG00000002172
seriola_dumerili ENSSDUG00000003172
hippocampus_comes ENSHCOG00000013449
periophthalmus_magnuspinnatus ENSPMGG00000010289
labrus_bergylta ENSLBEG00000022418
gadus_morhua ENSGMOG00000019088
scleropages_formosus ENSSFOG00015005759
paramormyrops_kingsleyae ENSPKIG00000004238
lepisosteus_oculatus ENSLOCG00000013861
erpetoichthys_calabaricus ENSECRG00000023035
callorhinchus_milii ENSCMIG00000019062
eptatretus_burgeri ENSEBUG00000003496
