anabas_testudineus ENSATEG00000014356
hippocampus_comes ENSHCOG00000008006
cyprinodon_variegatus ENSCVAG00000002377
xiphophorus_maculatus ENSXMAG00000025823
fundulus_heteroclitus ENSFHEG00000006481
maylandia_zebra ENSMZEG00005003695
takifugu_rubripes ENSTRUG00000023104
cynoglossus_semilaevis ENSCSEG00000003062
mola_mola ENSMMOG00000020151
esox_lucius ENSELUG00000024608
pygocentrus_nattereri ENSPNAG00000022529
astyanax_mexicanus ENSAMXG00000029822
gambusia_affinis ENSGAFG00000006982
poecilia_latipinna ENSPLAG00000005047
xiphophorus_couchianus ENSXCOG00000006579
kryptolebias_marmoratus ENSKMAG00000016675
oryzias_latipes_asm223469v1 ENSORLG00015012992
oryzias_latipes ENSORLG00000023726
oryzias_melastigma ENSOMEG00000005681
amphiprion_percula ENSAPEG00000023378
amphiprion_ocellaris ENSAOCG00000015812
acanthochromis_polyacanthus ENSAPOG00000023396
pundamilia_nyererei ENSPNYG00000010161
haplochromis_burtoni ENSHBUG00000021296
seriola_dumerili ENSSDUG00000002054
seriola_lalandi_dorsalis ENSSLDG00000002486
monopterus_albus ENSMALG00000010831
pygocentrus_nattereri ENSPNAG00000003108
ictalurus_punctatus ENSIPUG00000021650
astyanax_mexicanus ENSAMXG00000036263
esox_lucius ENSELUG00000002797
