calidris_pugnax ENSCPUG00000010657
calidris_pygmaea ENSCPGG00000000880
melopsittacus_undulatus ENSMUNG00000000394
lonchura_striata ENSLSDG00000001522
taeniopygia_guttata ENSTGUG00000003545
zonotrichia_albicollis ENSZALG00000000046
junco_hyemalis ENSJHYG00000008317
serinus_canaria ENSSCAG00000000029
cyanistes_caeruleus ENSCCEG00000008783
parus_major ENSPMJG00000007093
ficedula_albicollis ENSFALG00000009182
manacus_vitellinus ENSMVIG00005014716
lepidothrix_coronata ENSLCOG00000013004
anas_platyrhynchos ENSAPLG00000004253
anser_brachyrhynchus ENSABRG00000004404
meleagris_gallopavo ENSMGAG00000012200
meleagris_gallopavo ENSMGAG00000011120
gallus_gallus ENSGALG00000011405
coturnix_japonica ENSCJPG00005012814
numida_meleagris ENSNMEG00000009921
apteryx_owenii ENSAOWG00000018565
apteryx_haastii ENSAHAG00000009009
apteryx_rowi ENSARWG00000013877
dromaius_novaehollandiae ENSDNVG00000011681
nothoprocta_perdicaria ENSNPEG00000008335
crocodylus_porosus ENSCPRG00005004229
gopherus_agassizii ENSGAGG00000008104
chelonoidis_abingdonii ENSCABG00000001174
chrysemys_picta ENSCPBG00000022630
pelodiscus_sinensis ENSPSIG00000005436
pogona_vitticeps ENSPVIG00000008804
anolis_carolinensis ENSACAG00000013876
notechis_scutatus ENSNSUG00000013137
salvator_merianae ENSSMRG00000011020
sphenodon_punctatus ENSSPUG00000017065
echinops_telfairi ENSETEG00000009349
procavia_capensis ENSPCAG00000009257
loxodonta_africana ENSLAFG00000002273
mus_spretus MGP_SPRETEiJ_G0019840
mus_spicilegus ENSMSIG00000014417
mus_musculus ENSMUSG00000021733
mus_caroli MGP_CAROLIEiJ_G0018964
mus_pahari MGP_PahariEiJ_G0029978
rattus_norvegicus ENSRNOG00000005957
peromyscus_maniculatus ENSPEMG00000020169
microtus_ochrogaster ENSMOCG00000000599
cricetulus_griseus ENSCGRG00015016063
cricetulus_griseus ENSCGRG00001019823
cricetulus_griseus ENSCGRG00000005121
mesocricetus_auratus ENSMAUG00000014858
nannospalax_galili ENSNGAG00000014343
jaculus_jaculus ENSJJAG00000021063
castor_canadensis ENSCCNG00000029576
pan_troglodytes ENSPTRG00000014704
pan_paniscus ENSPPAG00000018316
homo_sapiens ENSG00000033867
gorilla_gorilla ENSGGOG00000011232
pongo_abelii ENSPPYG00000014056
nomascus_leucogenys ENSNLEG00000003919
cercocebus_atys ENSCATG00000043961
mandrillus_leucophaeus ENSMLEG00000030982
theropithecus_gelada ENSTGEG00000020130
papio_anubis ENSPANG00000003494
macaca_mulatta ENSMMUG00000019327
macaca_nemestrina ENSMNEG00000037643
macaca_fascicularis ENSMFAG00000000748
chlorocebus_sabaeus ENSCSAG00000009685
piliocolobus_tephrosceles ENSPTEG00000032851
colobus_angolensis ENSCANG00000034035
rhinopithecus_roxellana ENSRROG00000041486
rhinopithecus_bieti ENSRBIG00000031613
cebus_capucinus ENSCCAG00000022133
saimiri_boliviensis ENSSBOG00000027820
callithrix_jacchus ENSCJAG00000004141
aotus_nancymaae ENSANAG00000033803
carlito_syrichta ENSTSYG00000008542
propithecus_coquereli ENSPCOG00000026504
microcebus_murinus ENSMICG00000048954
prolemur_simus ENSPSMG00000012322
otolemur_garnettii ENSOGAG00000014844
heterocephalus_glaber ENSHGLG00100004509
heterocephalus_glaber ENSHGLG00000002019
fukomys_damarensis ENSFDAG00000010133
chinchilla_lanigera ENSCLAG00000005078
octodon_degus ENSODEG00000003429
cavia_porcellus ENSCPOG00000004444
cavia_aperea ENSCAPG00000015304
spermophilus_dauricus ENSSDAG00000021501
ictidomys_tridecemlineatus ENSSTOG00000012151
urocitellus_parryii ENSUPAG00010001831
marmota_marmota ENSMMMG00000014444
dipodomys_ordii ENSDORG00000005735
oryctolagus_cuniculus ENSOCUG00000013596
ochotona_princeps ENSOPRG00000014600
tupaia_belangeri ENSTBEG00000012668
ursus_maritimus ENSUMAG00000020249
ursus_americanus ENSUAMG00000027529
ailuropoda_melanoleuca ENSAMEG00000012751
neovison_vison ENSNVIG00000011293
mustela_putorius ENSMPUG00000012059
canis_lupus ENSCAFG00020024818
vulpes_vulpes ENSVVUG00000026186
canis_lupus ENSCAFG00000005613
panthera_pardus ENSPPRG00000024766
panthera_tigris ENSPTIG00000018124
felis_catus ENSFCAG00000024267
sorex_araneus ENSSARG00000009717
pteropus_vampyrus ENSPVAG00000009989
myotis_lucifugus ENSMLUG00000001453
erinaceus_europaeus ENSEEUG00000002446
equus_asinus ENSEASG00005006058
equus_caballus ENSECAG00000000767
bos_indicus ENSBIXG00000009577
bos_indicus ENSBIXG00005017256
bos_taurus ENSBTAG00000018227
bison_bison ENSBBBG00000005307
bos_mutus ENSBMUG00000023363
capra_hircus ENSCHIG00000015677
ovis_aries ENSOARG00000014224
sus_scrofa ENSSSCG00000011218
tursiops_truncatus ENSTTRG00000010788
vicugna_pacos ENSVPAG00000002331
choloepus_hoffmanni ENSCHOG00000005589
dasypus_novemcinctus ENSDNOG00000005720
meriones_unguiculatus ENSMUGG00000021548
meriones_unguiculatus ENSMUGG00000021730
vombatus_ursinus ENSVURG00010022496
phascolarctos_cinereus ENSPCIG00000026872
notamacropus_eugenii ENSMEUG00000003143
sarcophilus_harrisii ENSSHAG00000016885
monodelphis_domestica ENSMODG00000015030
ornithorhynchus_anatinus ENSOANG00000002769
xenopus_tropicalis ENSXETG00000000342
latimeria_chalumnae ENSLACG00000005265
clupea_harengus ENSCHAG00000016862
denticeps_clupeoides ENSDCDG00000022260
astyanax_mexicanus ENSAMXG00000007976
astyanax_mexicanus ENSAMXG00005006172
pygocentrus_nattereri ENSPNAG00000028100
ictalurus_punctatus ENSIPUG00000009884
electrophorus_electricus ENSEEEG00000012049
danio_rerio ENSDARG00000073952
hucho_hucho ENSHHUG00000036302
hucho_hucho ENSHHUG00000042683
hucho_hucho ENSHHUG00000040997
hucho_hucho ENSHHUG00000041676
esox_lucius ENSELUG00000003296
amphiprion_percula ENSAPEG00000019835
amphiprion_ocellaris ENSAOCG00000018481
acanthochromis_polyacanthus ENSAPOG00000005188
stegastes_partitus ENSSPAG00000012844
pundamilia_nyererei ENSPNYG00000015543
maylandia_zebra ENSMZEG00005017304
haplochromis_burtoni ENSHBUG00000014454
astatotilapia_calliptera ENSACLG00000013691
neolamprologus_brichardi ENSNBRG00000007181
oreochromis_niloticus ENSONIG00000001993
amphilophus_citrinellus ENSACIG00000016029
mastacembelus_armatus ENSMAMG00000017818
monopterus_albus ENSMALG00000003886
anabas_testudineus ENSATEG00000018840
betta_splendens ENSBSLG00000010670
parambassis_ranga ENSPRNG00000016010
mola_mola ENSMMOG00000010806
cottoperca_gobio ENSCGOG00000014469
fundulus_heteroclitus ENSFHEG00000004596
cyprinodon_variegatus ENSCVAG00000000321
poecilia_latipinna ENSPLAG00000008911
poecilia_mexicana ENSPMEG00000005139
poecilia_formosa ENSPFOG00000018931
poecilia_reticulata ENSPREG00000014175
gambusia_affinis ENSGAFG00000007498
xiphophorus_maculatus ENSXMAG00000012865
xiphophorus_couchianus ENSXCOG00000020761
oryzias_latipes ENSORLG00000017022
oryzias_latipes ENSORLG00000029055
oryzias_latipes ENSORLG00020009670
oryzias_melastigma ENSOMEG00000005629
gouania_willdenowi ENSGWIG00000002245
seriola_dumerili ENSSDUG00000020457
seriola_lalandi ENSSLDG00000016355
lates_calcarifer ENSLCAG00010012932
scophthalmus_maximus ENSSMAG00000004053
larimichthys_crocea ENSLCRG00005003316
