meriones_unguiculatus ENSMUGG00000025663
mesocricetus_auratus ENSMAUG00000008675
nannospalax_galili ENSNGAG00000018384
jaculus_jaculus ENSJJAG00000016414
jaculus_jaculus ENSJJAG00000019459
urocitellus_parryii ENSUPAG00010020982
aotus_nancymaae ENSANAG00000000023
aotus_nancymaae ENSANAG00000035607
papio_anubis ENSPANG00000035887
mandrillus_leucophaeus ENSMLEG00000013658
microcebus_murinus ENSMICG00000030758
panthera_tigris_altaica ENSPTIG00000010993
panthera_pardus ENSPPRG00000012964
felis_catus ENSFCAG00000037968
neovison_vison ENSNVIG00000004489
capra_hircus ENSCHIG00000021441
heterocephalus_glaber_female ENSHGLG00000009300
heterocephalus_glaber_male ENSHGLG00100018208
octodon_degus ENSODEG00000006443
octodon_degus ENSODEG00000014278
heterocephalus_glaber_male ENSHGLG00100012103
heterocephalus_glaber_female ENSHGLG00000014839
heterocephalus_glaber_female ENSHGLG00000005431
octodon_degus ENSODEG00000009897
panthera_tigris_altaica ENSPTIG00000018091
