cavia_porcellus ENSCPOG00000036035
octodon_degus ENSODEG00000019959
chinchilla_lanigera ENSCLAG00000017956
ictidomys_tridecemlineatus ENSSTOG00000022677
spermophilus_dauricus ENSSDAG00000001171
castor_canadensis ENSCCNG00000026586
dipodomys_ordii ENSDORG00000025233
cricetulus_griseus ENSCGRG00000018521
cricetulus_griseus ENSCGRG00015001384
cricetulus_griseus ENSCGRG00001003149
microtus_ochrogaster ENSMOCG00000001415
peromyscus_maniculatus ENSPEMG00000025595
mus_spretus MGP_SPRETEiJ_G0015412
mus_spretus MGP_SPRETEiJ_G0015413
mus_spicilegus ENSMSIG00000018721
mus_musculus ENSMUSG00000102049
mus_musculus ENSMUSG00000094410
mus_caroli MGP_CAROLIEiJ_G0014605
mus_caroli MGP_CAROLIEiJ_G0014606
mus_pahari MGP_PahariEiJ_G0027841
mus_pahari MGP_PahariEiJ_G0027842
nannospalax_galili ENSNGAG00000014592
jaculus_jaculus ENSJJAG00000001904
oryctolagus_cuniculus ENSOCUG00000024739
prolemur_simus ENSPSMG00000003690
otolemur_garnettii ENSOGAG00000032362
papio_anubis ENSPANG00000018009
theropithecus_gelada ENSTGEG00000017420
macaca_nemestrina ENSMNEG00000019676
chlorocebus_sabaeus ENSCSAG00000000255
pan_paniscus ENSPPAG00000026325
homo_sapiens ENSG00000257315
callithrix_jacchus ENSCJAG00000039843
cebus_capucinus ENSCCAG00000019665
aotus_nancymaae ENSANAG00000017840
myotis_lucifugus ENSMLUG00000024783
equus_caballus ENSECAG00000005666
ursus_americanus ENSUAMG00000005643
ailuropoda_melanoleuca ENSAMEG00000019872
mustela_putorius ENSMPUG00000019262
canis_lupus ENSCAFG00020006740
vulpes_vulpes ENSVVUG00000014998
felis_catus ENSFCAG00000052187
panthera_pardus ENSPPRG00000020731
capra_hircus ENSCHIG00000011089
ovis_aries ENSOARG00000004947
bison_bison ENSBBBG00000017218
loxodonta_africana ENSLAFG00000029775
dasypus_novemcinctus ENSDNOG00000049271
pelodiscus_sinensis ENSPSIG00000001968
crocodylus_porosus ENSCPRG00005011040
