mus_musculus ENSMUSG00000032504
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033909
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032762
mus_pahari MGP_PahariEiJ_G0015628
peromyscus_maniculatus_bairdii ENSPEMG00000019792
nannospalax_galili ENSNGAG00000016325
chinchilla_lanigera ENSCLAG00000004047
octodon_degus ENSODEG00000004411
heterocephalus_glaber_male ENSHGLG00100002607
heterocephalus_glaber_female ENSHGLG00000004033
fukomys_damarensis ENSFDAG00000017252
marmota_marmota_marmota ENSMMMG00000012359
ictidomys_tridecemlineatus ENSSTOG00000003420
spermophilus_dauricus ENSSDAG00000005343
ailuropoda_melanoleuca ENSAMEG00000002537
ursus_maritimus ENSUMAG00000006668
neovison_vison ENSNVIG00000005789
mustela_putorius_furo ENSMPUG00000013234
vulpes_vulpes ENSVVUG00000022059
canis_lupus_familiaris ENSCAFG00000004721
panthera_pardus ENSPPRG00000007728
felis_catus ENSFCAG00000022852
bison_bison_bison ENSBBBG00000009074
myotis_lucifugus ENSMLUG00000006659
propithecus_coquereli ENSPCOG00000019551
prolemur_simus ENSPSMG00000010779
microcebus_murinus ENSMICG00000049253
otolemur_garnettii ENSOGAG00000006048
pan_troglodytes ENSPTRG00000014735
pan_paniscus ENSPPAG00000029413
homo_sapiens ENSG00000170248
gorilla_gorilla ENSGGOG00000024787
pongo_abelii ENSPPYG00000014028
nomascus_leucogenys ENSNLEG00000004764
papio_anubis ENSPANG00000018324
cercocebus_atys ENSCATG00000039590
mandrillus_leucophaeus ENSMLEG00000027798
theropithecus_gelada ENSTGEG00000022337
macaca_nemestrina ENSMNEG00000043620
macaca_fascicularis ENSMFAG00000043863
macaca_mulatta ENSMMUG00000014069
chlorocebus_sabaeus ENSCSAG00000009342
colobus_angolensis_palliatus ENSCANG00000033106
piliocolobus_tephrosceles ENSPTEG00000012837
rhinopithecus_bieti ENSRBIG00000034607
rhinopithecus_roxellana ENSRROG00000033332
cebus_capucinus ENSCCAG00000033058
saimiri_boliviensis_boliviensis ENSSBOG00000025175
canis_lupus_dingo ENSCAFG00020001754
jaculus_jaculus ENSJJAG00000007372
hippocampus_comes ENSHCOG00000018761
seriola_dumerili ENSSDUG00000009214
