apteryx_haastii ENSAHAG00000001705
gallus_gallus ENSGALG00000050515
chelonoidis_abingdonii ENSCABG00000003318
papio_anubis ENSPANG00000034936
mandrillus_leucophaeus ENSMLEG00000024407
macaca_nemestrina ENSMNEG00000013845
macaca_fascicularis ENSMFAG00000026743
cercocebus_atys ENSCATG00000021711
cercocebus_atys ENSCATG00000016755
rhinopithecus_bieti ENSRBIG00000027037
propithecus_coquereli ENSPCOG00000026398
propithecus_coquereli ENSPCOG00000025863
microcebus_murinus ENSMICG00000046123
sus_scrofa ENSSSCG00000036203
sus_scrofa ENSSSCG00000039111
