anas_platyrhynchos_platyrhynchos ENSAPLG00000019306
anser_brachyrhynchus ENSABRG00000015622
gallus_gallus ENSGALG00000040180
coturnix_japonica ENSCJPG00005009986
numida_meleagris ENSNMEG00000013402
parus_major ENSPMJG00000014773
lepidothrix_coronata ENSLCOG00000004646
taeniopygia_guttata ENSTGUG00000010839
ficedula_albicollis ENSFALG00000014184
zonotrichia_albicollis ENSZALG00000000771
apteryx_haastii ENSAHAG00000010098
apteryx_rowi ENSARWG00000008885
apteryx_owenii ENSAOWG00000005300
dromaius_novaehollandiae ENSDNVG00000016411
calidris_pygmaea ENSCPGG00000008169
chrysemys_picta_bellii ENSCPBG00000020929
sphenodon_punctatus ENSSPUG00000005671
pogona_vitticeps ENSPVIG00000014099
anolis_carolinensis ENSACAG00000012009
salvator_merianae ENSSMRG00000011054
manacus_vitellinus ENSMVIG00005006168
manacus_vitellinus ENSMVIG00005002934
junco_hyemalis ENSJHYG00000006706
nothoprocta_perdicaria ENSNPEG00000004317
crocodylus_porosus ENSCPRG00005015316
chelonoidis_abingdonii ENSCABG00000002632
notechis_scutatus ENSNSUG00000020197
cricetulus_griseus_chok1gshd ENSCGRG00001010010
cricetulus_griseus_crigri ENSCGRG00000019069
cricetulus_griseus_crigri-picr ENSCGRG00015010197
mesocricetus_auratus ENSMAUG00000010186
peromyscus_maniculatus_bairdii ENSPEMG00000006910
microtus_ochrogaster ENSMOCG00000003699
mus_spicilegus ENSMSIG00000016699
mus_musculus ENSMUSG00000071637
rattus_norvegicus ENSRNOG00000050869
meriones_unguiculatus ENSMUGG00000010238
castor_canadensis ENSCCNG00000013272
heterocephalus_glaber_female ENSHGLG00000020699
octodon_degus ENSODEG00000002997
urocitellus_parryii ENSUPAG00010003242
marmota_marmota_marmota ENSMMMG00000022067
oryctolagus_cuniculus ENSOCUG00000025135
macaca_fascicularis ENSMFAG00000008892
macaca_mulatta ENSMMUG00000013151
macaca_nemestrina ENSMNEG00000037803
cercocebus_atys ENSCATG00000043488
theropithecus_gelada ENSTGEG00000013545
papio_anubis ENSPANG00000024953
piliocolobus_tephrosceles ENSPTEG00000026575
piliocolobus_tephrosceles ENSPTEG00000027796
pan_troglodytes ENSPTRG00000042020
homo_sapiens ENSG00000221869
gorilla_gorilla ENSGGOG00000008077
pongo_abelii ENSPPYG00000018572
cebus_capucinus ENSCCAG00000019098
callithrix_jacchus ENSCJAG00000013678
aotus_nancymaae ENSANAG00000022717
otolemur_garnettii ENSOGAG00000030449
panthera_pardus ENSPPRG00000011305
felis_catus ENSFCAG00000040821
neovison_vison ENSNVIG00000023088
mustela_putorius_furo ENSMPUG00000001146
ursus_americanus ENSUAMG00000010988
equus_asinus_asinus ENSEASG00005011359
equus_caballus ENSECAG00000039817
capra_hircus ENSCHIG00000010420
ovis_aries ENSOARG00000011169
bos_taurus ENSBTAG00000046307
sus_scrofa ENSSSCG00000032367
dasypus_novemcinctus ENSDNOG00000025666
ailuropoda_melanoleuca ENSAMEG00000000248
canis_lupus_dingo ENSCAFG00020000763
prolemur_simus ENSPSMG00000025012
ornithorhynchus_anatinus ENSOANG00000007261
phascolarctos_cinereus ENSPCIG00000031800
monodelphis_domestica ENSMODG00000010525
lonchura_striata_domestica ENSLSDG00000006847
nothoprocta_perdicaria ENSNPEG00000004311
crocodylus_porosus ENSCPRG00005015317
gopherus_agassizii ENSGAGG00000023332
chelonoidis_abingdonii ENSCABG00000002634
notechis_scutatus ENSNSUG00000020196
phascolarctos_cinereus ENSPCIG00000031715
scleropages_formosus ENSSFOG00015005052
tetraodon_nigroviridis ENSTNIG00000000222
takifugu_rubripes ENSTRUG00000007551
gasterosteus_aculeatus ENSGACG00000017927
scophthalmus_maximus ENSSMAG00000019584
hippocampus_comes ENSHCOG00000019368
poecilia_formosa ENSPFOG00000020361
poecilia_reticulata ENSPREG00000008610
poecilia_latipinna ENSPLAG00000009802
poecilia_mexicana ENSPMEG00000023924
gambusia_affinis ENSGAFG00000021424
xiphophorus_maculatus ENSXMAG00000019437
xiphophorus_couchianus ENSXCOG00000015091
cyprinodon_variegatus ENSCVAG00000000852
fundulus_heteroclitus ENSFHEG00000012767
kryptolebias_marmoratus ENSKMAG00000005255
oryzias_latipes ENSORLG00020008893
oryzias_latipes ENSORLG00000022254
oryzias_latipes_asm223469v1 ENSORLG00015008827
oryzias_melastigma ENSOMEG00000006472
mola_mola ENSMMOG00000016704
cynoglossus_semilaevis ENSCSEG00000010409
amphiprion_percula ENSAPEG00000003115
amphiprion_ocellaris ENSAOCG00000017818
acanthochromis_polyacanthus ENSAPOG00000000092
stegastes_partitus ENSSPAG00000015725
astatotilapia_calliptera ENSACLG00000018739
maylandia_zebra ENSMZEG00005025064
pundamilia_nyererei ENSPNYG00000015118
haplochromis_burtoni ENSHBUG00000007610
neolamprologus_brichardi ENSNBRG00000011847
oreochromis_niloticus ENSONIG00000021429
amphilophus_citrinellus ENSACIG00000018395
monopterus_albus ENSMALG00000021212
mastacembelus_armatus ENSMAMG00000015447
anabas_testudineus ENSATEG00000006996
labrus_bergylta ENSLBEG00000012019
seriola_dumerili ENSSDUG00000018137
seriola_lalandi_dorsalis ENSSLDG00000012735
periophthalmus_magnuspinnatus ENSPMGG00000002418
gadus_morhua ENSGMOG00000002585
esox_lucius ENSELUG00000021661
danio_rerio ENSDARG00000087303
paramormyrops_kingsleyae ENSPKIG00000002564
lepisosteus_oculatus ENSLOCG00000017816
pygocentrus_nattereri ENSPNAG00000012227
astyanax_mexicanus ENSAMXG00000037523
ictalurus_punctatus ENSIPUG00000000126
latimeria_chalumnae ENSLACG00000015084
xenopus_tropicalis ENSXETG00000004850
eptatretus_burgeri ENSEBUG00000001361
