vulpes_vulpes ENSVVUG00000006800
canis_lupus_dingo ENSCAFG00020019692
equus_caballus ENSECAG00000039645
mesocricetus_auratus ENSMAUG00000006781
meriones_unguiculatus ENSMUGG00000002056
equus_asinus_asinus ENSEASG00005008356
ursus_americanus ENSUAMG00000000020
theropithecus_gelada ENSTGEG00000028439
piliocolobus_tephrosceles ENSPTEG00000025562
prolemur_simus ENSPSMG00000025097
castor_canadensis ENSCCNG00000023144
pan_troglodytes ENSPTRG00000043951
pan_paniscus ENSPPAG00000012286
aotus_nancymaae ENSANAG00000004036
saimiri_boliviensis_boliviensis ENSSBOG00000036394
heterocephalus_glaber_male ENSHGLG00100021219
neovison_vison ENSNVIG00000006342
panthera_tigris_altaica ENSPTIG00000006376
bison_bison_bison ENSBBBG00000011743
bos_mutus ENSBMUG00000005668
chinchilla_lanigera ENSCLAG00000017382
octodon_degus ENSODEG00000018672
spermophilus_dauricus ENSSDAG00000016310
spermophilus_dauricus ENSSDAG00000012654
marmota_marmota_marmota ENSMMMG00000015261
ictidomys_tridecemlineatus ENSSTOG00000025807
gorilla_gorilla ENSGGOG00000043748
gallus_gallus ENSGALG00000051082
sphenodon_punctatus ENSSPUG00000000200
