oryctolagus_cuniculus ENSOCUG00000000289
ochotona_princeps ENSOPRG00000013105
echinops_telfairi ENSETEG00000019074
pan_paniscus ENSPPAG00000041966
pan_troglodytes ENSPTRG00000006441
homo_sapiens ENSG00000126822
gorilla_gorilla ENSGGOG00000009377
pongo_abelii ENSPPYG00000005904
nomascus_leucogenys ENSNLEG00000014274
colobus_angolensis_palliatus ENSCANG00000029157
piliocolobus_tephrosceles ENSPTEG00000036252
rhinopithecus_roxellana ENSRROG00000043044
rhinopithecus_bieti ENSRBIG00000033188
cercocebus_atys ENSCATG00000034138
mandrillus_leucophaeus ENSMLEG00000036962
papio_anubis ENSPANG00000004882
theropithecus_gelada ENSTGEG00000016971
chlorocebus_sabaeus ENSCSAG00000013764
macaca_mulatta ENSMMUG00000019170
macaca_fascicularis ENSMFAG00000035789
macaca_nemestrina ENSMNEG00000043889
cebus_capucinus ENSCCAG00000023706
saimiri_boliviensis_boliviensis ENSSBOG00000021158
callithrix_jacchus ENSCJAG00000019611
aotus_nancymaae ENSANAG00000021347
carlito_syrichta ENSTSYG00000001237
propithecus_coquereli ENSPCOG00000023698
prolemur_simus ENSPSMG00000021896
microcebus_murinus ENSMICG00000013046
otolemur_garnettii ENSOGAG00000002749
castor_canadensis ENSCCNG00000010773
dipodomys_ordii ENSDORG00000001277
cricetulus_griseus_crigri-picr ENSCGRG00015027788
cricetulus_griseus_chok1gshd ENSCGRG00001018822
cricetulus_griseus_crigri ENSCGRG00000016078
microtus_ochrogaster ENSMOCG00000011351
peromyscus_maniculatus_bairdii ENSPEMG00000012158
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018715
mus_spicilegus ENSMSIG00000010890
mus_musculus ENSMUSG00000052609
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017868
mus_pahari MGP_PahariEiJ_G0029625
rattus_norvegicus ENSRNOG00000006570
meriones_unguiculatus ENSMUGG00000001955
nannospalax_galili ENSNGAG00000018389
jaculus_jaculus ENSJJAG00000020196
chinchilla_lanigera ENSCLAG00000003006
octodon_degus ENSODEG00000013350
cavia_aperea ENSCAPG00000000075
cavia_porcellus ENSCPOG00000006700
heterocephalus_glaber_male ENSHGLG00100009333
heterocephalus_glaber_female ENSHGLG00000009757
fukomys_damarensis ENSFDAG00000012625
urocitellus_parryii ENSUPAG00010011400
ictidomys_tridecemlineatus ENSSTOG00000010213
spermophilus_dauricus ENSSDAG00000009293
marmota_marmota_marmota ENSMMMG00000020967
tupaia_belangeri ENSTBEG00000010163
equus_caballus ENSECAG00000006117
equus_asinus_asinus ENSEASG00005008624
pteropus_vampyrus ENSPVAG00000011376
ursus_americanus ENSUAMG00000020083
ursus_maritimus ENSUMAG00000013446
ailuropoda_melanoleuca ENSAMEG00000003757
neovison_vison ENSNVIG00000008179
mustela_putorius_furo ENSMPUG00000006767
canis_lupus_dingo ENSCAFG00020007103
canis_lupus_familiaris ENSCAFG00000016048
vulpes_vulpes ENSVVUG00000027990
panthera_pardus ENSPPRG00000023596
panthera_tigris_altaica ENSPTIG00000002735
felis_catus ENSFCAG00000003219
tursiops_truncatus ENSTTRG00000001620
vicugna_pacos ENSVPAG00000003134
bos_taurus ENSBTAG00000001551
bos_mutus ENSBMUG00000017088
bison_bison_bison ENSBBBG00000022933
capra_hircus ENSCHIG00000018176
ovis_aries ENSOARG00000021153
sus_scrofa ENSSSCG00000002276
erinaceus_europaeus ENSEEUG00000006406
sorex_araneus ENSSARG00000011074
loxodonta_africana ENSLAFG00000007819
procavia_capensis ENSPCAG00000008621
dasypus_novemcinctus ENSDNOG00000001024
phascolarctos_cinereus ENSPCIG00000016734
notamacropus_eugenii ENSMEUG00000006887
sarcophilus_harrisii ENSSHAG00000011587
monodelphis_domestica ENSMODG00000009561
ornithorhynchus_anatinus ENSOANG00000006235
ornithorhynchus_anatinus ENSOANG00000032304
apteryx_owenii ENSAOWG00000008018
apteryx_haastii ENSAHAG00000003122
apteryx_rowi ENSARWG00000001541
nothoprocta_perdicaria ENSNPEG00000015933
dromaius_novaehollandiae ENSDNVG00000011384
parus_major ENSPMJG00000003998
cyanistes_caeruleus ENSCCEG00000006421
junco_hyemalis ENSJHYG00000008411
lonchura_striata_domestica ENSLSDG00000008211
taeniopygia_guttata ENSTGUG00000007578
serinus_canaria ENSSCAG00000010408
zonotrichia_albicollis ENSZALG00000007127
ficedula_albicollis ENSFALG00000001267
lepidothrix_coronata ENSLCOG00000000746
calidris_pygmaea ENSCPGG00000018055
meleagris_gallopavo ENSMGAG00000004413
numida_meleagris ENSNMEG00000004813
anser_brachyrhynchus ENSABRG00000014782
anas_platyrhynchos_platyrhynchos ENSAPLG00000028430
crocodylus_porosus ENSCPRG00005013681
chelonoidis_abingdonii ENSCABG00000000082
gopherus_agassizii ENSGAGG00000015668
pelodiscus_sinensis ENSPSIG00000010568
anolis_carolinensis ENSACAG00000009366
notechis_scutatus ENSNSUG00000012546
salvator_merianae ENSSMRG00000010605
apteryx_rowi ENSARWG00000001543
nothoprocta_perdicaria ENSNPEG00000015934
serinus_canaria ENSSCAG00000010411
crocodylus_porosus ENSCPRG00005013676
chelonoidis_abingdonii ENSCABG00000000079
gopherus_agassizii ENSGAGG00000015662
chrysemys_picta_bellii ENSCPBG00000016917
pogona_vitticeps ENSPVIG00000021795
notechis_scutatus ENSNSUG00000012547
danio_rerio ENSDARG00000058835
ictalurus_punctatus ENSIPUG00000019648
amphiprion_percula ENSAPEG00000018397
stegastes_partitus ENSSPAG00000014586
amphilophus_citrinellus ENSACIG00000019779
pundamilia_nyererei ENSPNYG00000000636
poecilia_reticulata ENSPREG00000005072
poecilia_reticulata ENSPREG00000005047
mola_mola ENSMMOG00000017824
monopterus_albus ENSMALG00000015714
takifugu_rubripes ENSTRUG00000023317
tetraodon_nigroviridis ENSTNIG00000017462
mola_mola ENSMMOG00000002091
gasterosteus_aculeatus ENSGACG00000006362
mastacembelus_armatus ENSMAMG00000007920
labrus_bergylta ENSLBEG00000025974
seriola_dumerili ENSSDUG00000010225
scophthalmus_maximus ENSSMAG00000006845
scophthalmus_maximus ENSSMAG00000006860
seriola_lalandi_dorsalis ENSSLDG00000003727
seriola_dumerili ENSSDUG00000010198
monopterus_albus ENSMALG00000006227
mola_mola ENSMMOG00000002087
anabas_testudineus ENSATEG00000004725
cynoglossus_semilaevis ENSCSEG00000000197
amphiprion_ocellaris ENSAOCG00000018174
amphiprion_percula ENSAPEG00000000432
acanthochromis_polyacanthus ENSAPOG00000011688
stegastes_partitus ENSSPAG00000020423
fundulus_heteroclitus ENSFHEG00000008438
fundulus_heteroclitus ENSFHEG00000008454
cyprinodon_variegatus ENSCVAG00000013315
poecilia_reticulata ENSPREG00000021542
poecilia_formosa ENSPFOG00000009588
xiphophorus_maculatus ENSXMAG00000006610
poecilia_latipinna ENSPLAG00000008720
poecilia_mexicana ENSPMEG00000005656
xiphophorus_couchianus ENSXCOG00000011131
gambusia_affinis ENSGAFG00000017559
kryptolebias_marmoratus ENSKMAG00000015363
oryzias_latipes ENSORLG00000024331
oryzias_latipes ENSORLG00020003535
oryzias_latipes_asm223469v1 ENSORLG00015018088
oryzias_melastigma ENSOMEG00000018118
hippocampus_comes ENSHCOG00000018208
maylandia_zebra ENSMZEG00005027023
pundamilia_nyererei ENSPNYG00000000977
maylandia_zebra ENSMZEG00005027022
pundamilia_nyererei ENSPNYG00000000943
astatotilapia_calliptera ENSACLG00000003279
haplochromis_burtoni ENSHBUG00000000473
neolamprologus_brichardi ENSNBRG00000001052
amphilophus_citrinellus ENSACIG00000014813
hippocampus_comes ENSHCOG00000018176
oryzias_latipes_asm223469v1 ENSORLG00015018080
oryzias_melastigma ENSOMEG00000018070
periophthalmus_magnuspinnatus ENSPMGG00000011376
gadus_morhua ENSGMOG00000011539
esox_lucius ENSELUG00000004399
pygocentrus_nattereri ENSPNAG00000020839
pygocentrus_nattereri ENSPNAG00000020861
astyanax_mexicanus ENSAMXG00000040969
ictalurus_punctatus ENSIPUG00000019661
paramormyrops_kingsleyae ENSPKIG00000004001
tetraodon_nigroviridis ENSTNIG00000000136
takifugu_rubripes ENSTRUG00000022354
hippocampus_comes ENSHCOG00000008285
monopterus_albus ENSMALG00000015732
poecilia_mexicana ENSPMEG00000001790
poecilia_formosa ENSPFOG00000016283
poecilia_latipinna ENSPLAG00000018586
xiphophorus_maculatus ENSXMAG00000009599
gambusia_affinis ENSGAFG00000013525
xiphophorus_couchianus ENSXCOG00000019780
poecilia_reticulata ENSPREG00000013229
cyprinodon_variegatus ENSCVAG00000012924
amphiprion_percula ENSAPEG00000018377
stegastes_partitus ENSSPAG00000014563
oryzias_latipes ENSORLG00000015774
oryzias_latipes_asm223469v1 ENSORLG00015001787
oryzias_latipes ENSORLG00020006655
oryzias_latipes ENSORLG00020006637
oryzias_melastigma ENSOMEG00000014003
mastacembelus_armatus ENSMAMG00000002290
amphiprion_ocellaris ENSAOCG00000004174
acanthochromis_polyacanthus ENSAPOG00000008215
anabas_testudineus ENSATEG00000005937
maylandia_zebra ENSMZEG00005014511
astatotilapia_calliptera ENSACLG00000015668
haplochromis_burtoni ENSHBUG00000023287
neolamprologus_brichardi ENSNBRG00000004246
oreochromis_niloticus ENSONIG00000018834
seriola_dumerili ENSSDUG00000016163
seriola_lalandi_dorsalis ENSSLDG00000011298
scophthalmus_maximus ENSSMAG00000010826
labrus_bergylta ENSLBEG00000019517
kryptolebias_marmoratus ENSKMAG00000014377
kryptolebias_marmoratus ENSKMAG00000014396
amphilophus_citrinellus ENSACIG00000019761
mola_mola ENSMMOG00000017829
esox_lucius ENSELUG00000016456
pygocentrus_nattereri ENSPNAG00000024982
astyanax_mexicanus ENSAMXG00000009210
ictalurus_punctatus ENSIPUG00000017713
danio_rerio ENSDARG00000096613
lepisosteus_oculatus ENSLOCG00000012808
latimeria_chalumnae ENSLACG00000000101
petromyzon_marinus ENSPMAG00000002944
eptatretus_burgeri ENSEBUG00000014051
petromyzon_marinus ENSPMAG00000007248
eptatretus_burgeri ENSEBUG00000002590
xenopus_tropicalis ENSXETG00000000292
ovis_aries ENSOARG00000000066
myotis_lucifugus ENSMLUG00000004268
ciona_savignyi ENSCSAVG00000009547
