esox_lucius ENSELUG00000020533
gadus_morhua ENSGMOG00000003139
hippocampus_comes ENSHCOG00000018338
hippocampus_comes ENSHCOG00000018577
hippocampus_comes ENSHCOG00000018518
periophthalmus_magnuspinnatus ENSPMGG00000019984
periophthalmus_magnuspinnatus ENSPMGG00000019975
labrus_bergylta ENSLBEG00000004314
gasterosteus_aculeatus ENSGACG00000005232
takifugu_rubripes ENSTRUG00000021150
takifugu_rubripes ENSTRUG00000022340
tetraodon_nigroviridis ENSTNIG00000004460
mola_mola ENSMMOG00000002877
mastacembelus_armatus ENSMAMG00000004178
monopterus_albus ENSMALG00000007453
anabas_testudineus ENSATEG00000017503
cynoglossus_semilaevis ENSCSEG00000012244
cynoglossus_semilaevis ENSCSEG00000012290
cynoglossus_semilaevis ENSCSEG00000012279
scophthalmus_maximus ENSSMAG00000013467
scophthalmus_maximus ENSSMAG00000013337
seriola_dumerili ENSSDUG00000019655
seriola_lalandi_dorsalis ENSSLDG00000003560
amphiprion_percula ENSAPEG00000019763
amphiprion_ocellaris ENSAOCG00000021091
acanthochromis_polyacanthus ENSAPOG00000004974
stegastes_partitus ENSSPAG00000005337
maylandia_zebra ENSMZEG00005006004
astatotilapia_calliptera ENSACLG00000011535
haplochromis_burtoni ENSHBUG00000000947
pundamilia_nyererei ENSPNYG00000005554
neolamprologus_brichardi ENSNBRG00000013259
oreochromis_niloticus ENSONIG00000008807
amphilophus_citrinellus ENSACIG00000011302
xiphophorus_maculatus ENSXMAG00000027418
xiphophorus_maculatus ENSXMAG00000004744
fundulus_heteroclitus ENSFHEG00000022802
xiphophorus_couchianus ENSXCOG00000019102
xiphophorus_maculatus ENSXMAG00000021938
gambusia_affinis ENSGAFG00000002079
poecilia_formosa ENSPFOG00000024453
poecilia_latipinna ENSPLAG00000021224
poecilia_mexicana ENSPMEG00000001085
poecilia_reticulata ENSPREG00000002967
cyprinodon_variegatus ENSCVAG00000021185
kryptolebias_marmoratus ENSKMAG00000015498
oryzias_latipes_asm223469v1 ENSORLG00015017062
oryzias_latipes_asm223469v1 ENSORLG00015017007
oryzias_latipes ENSORLG00020022555
oryzias_latipes ENSORLG00020022558
oryzias_latipes ENSORLG00020022557
oryzias_latipes ENSORLG00000017126
oryzias_melastigma ENSOMEG00000002960
pygocentrus_nattereri ENSPNAG00000012698
astyanax_mexicanus ENSAMXG00000005931
ictalurus_punctatus ENSIPUG00000009849
danio_rerio ENSDARG00000102506
scleropages_formosus ENSSFOG00015022254
paramormyrops_kingsleyae ENSPKIG00000000286
lepisosteus_oculatus ENSLOCG00000008113
anser_brachyrhynchus ENSABRG00000023169
anas_platyrhynchos_platyrhynchos ENSAPLG00000007540
meleagris_gallopavo ENSMGAG00000010459
coturnix_japonica ENSCJPG00005018170
gallus_gallus ENSGALG00000010858
numida_meleagris ENSNMEG00000022547
lonchura_striata_domestica ENSLSDG00000013333
taeniopygia_guttata ENSTGUG00000007663
serinus_canaria ENSSCAG00000015630
zonotrichia_albicollis ENSZALG00000017597
junco_hyemalis ENSJHYG00000003108
ficedula_albicollis ENSFALG00000000807
cyanistes_caeruleus ENSCCEG00000024008
parus_major ENSPMJG00000018810
lepidothrix_coronata ENSLCOG00000016388
manacus_vitellinus ENSMVIG00005018215
melopsittacus_undulatus ENSMUNG00000008476
calidris_pygmaea ENSCPGG00000010070
calidris_pugnax ENSCPUG00000003962
apteryx_haastii ENSAHAG00000016287
