maylandia_zebra ENSMZEG00005018358
astatotilapia_calliptera ENSACLG00000003519
pundamilia_nyererei ENSPNYG00000002059
haplochromis_burtoni ENSHBUG00000015515
neolamprologus_brichardi ENSNBRG00000013552
oreochromis_niloticus ENSONIG00000006165
takifugu_rubripes ENSTRUG00000009006
tetraodon_nigroviridis ENSTNIG00000017138
anabas_testudineus ENSATEG00000002217
amphilophus_citrinellus ENSACIG00000020985
mola_mola ENSMMOG00000004111
labrus_bergylta ENSLBEG00000021334
gasterosteus_aculeatus ENSGACG00000004505
seriola_dumerili ENSSDUG00000009163
seriola_lalandi_dorsalis ENSSLDG00000023761
scophthalmus_maximus ENSSMAG00000016143
amphiprion_ocellaris ENSAOCG00000002663
amphiprion_percula ENSAPEG00000012670
acanthochromis_polyacanthus ENSAPOG00000016459
stegastes_partitus ENSSPAG00000013856
monopterus_albus ENSMALG00000017152
mastacembelus_armatus ENSMAMG00000009907
cynoglossus_semilaevis ENSCSEG00000019807
periophthalmus_magnuspinnatus ENSPMGG00000013752
hippocampus_comes ENSHCOG00000001215
fundulus_heteroclitus ENSFHEG00000017452
cyprinodon_variegatus ENSCVAG00000009828
poecilia_formosa ENSPFOG00000013173
poecilia_mexicana ENSPMEG00000015233
poecilia_latipinna ENSPLAG00000010405
poecilia_reticulata ENSPREG00000006280
xiphophorus_maculatus ENSXMAG00000001998
xiphophorus_couchianus ENSXCOG00000012296
gambusia_affinis ENSGAFG00000000367
kryptolebias_marmoratus ENSKMAG00000015910
oryzias_latipes ENSORLG00000019066
oryzias_latipes ENSORLG00020008094
oryzias_latipes_asm223469v1 ENSORLG00015008410
oryzias_melastigma ENSOMEG00000001868
gadus_morhua ENSGMOG00000006122
esox_lucius ENSELUG00000007495
pygocentrus_nattereri ENSPNAG00000009990
astyanax_mexicanus ENSAMXG00000002728
ictalurus_punctatus ENSIPUG00000004067
danio_rerio ENSDARG00000071727
scleropages_formosus ENSSFOG00015019070
paramormyrops_kingsleyae ENSPKIG00000017246
lepisosteus_oculatus ENSLOCG00000011245
gopherus_agassizii ENSGAGG00000007724
chelonoidis_abingdonii ENSCABG00000022584
chrysemys_picta_bellii ENSCPBG00000020570
pelodiscus_sinensis ENSPSIG00000008080
crocodylus_porosus ENSCPRG00005009824
sphenodon_punctatus ENSSPUG00000007467
xenopus_tropicalis ENSXETG00000017744
latimeria_chalumnae ENSLACG00000003948
