scleropages_formosus ENSSFOG00015016755
paramormyrops_kingsleyae ENSPKIG00000014597
astyanax_mexicanus ENSAMXG00000039637
pygocentrus_nattereri ENSPNAG00000004738
ictalurus_punctatus ENSIPUG00000011962
danio_rerio ENSDARG00000036704
mastacembelus_armatus ENSMAMG00000020763
monopterus_albus ENSMALG00000003685
anabas_testudineus ENSATEG00000010900
takifugu_rubripes ENSTRUG00000014942
tetraodon_nigroviridis ENSTNIG00000001724
gasterosteus_aculeatus ENSGACG00000011452
labrus_bergylta ENSLBEG00000020709
cynoglossus_semilaevis ENSCSEG00000020708
scophthalmus_maximus ENSSMAG00000014214
seriola_dumerili ENSSDUG00000016995
seriola_lalandi_dorsalis ENSSLDG00000005853
amphiprion_percula ENSAPEG00000005369
amphiprion_ocellaris ENSAOCG00000009752
acanthochromis_polyacanthus ENSAPOG00000003802
stegastes_partitus ENSSPAG00000011841
fundulus_heteroclitus ENSFHEG00000001059
cyprinodon_variegatus ENSCVAG00000007347
poecilia_formosa ENSPFOG00000001043
poecilia_mexicana ENSPMEG00000014354
poecilia_latipinna ENSPLAG00000016023
poecilia_reticulata ENSPREG00000001700
xiphophorus_couchianus ENSXCOG00000004578
xiphophorus_maculatus ENSXMAG00000007506
gambusia_affinis ENSGAFG00000010765
kryptolebias_marmoratus ENSKMAG00000011184
oryzias_latipes ENSORLG00000013883
oryzias_latipes_asm223469v1 ENSORLG00015006704
oryzias_latipes ENSORLG00020011908
oryzias_melastigma ENSOMEG00000008255
astatotilapia_calliptera ENSACLG00000016255
haplochromis_burtoni ENSHBUG00000009904
maylandia_zebra ENSMZEG00005017087
pundamilia_nyererei ENSPNYG00000010096
neolamprologus_brichardi ENSNBRG00000017143
amphilophus_citrinellus ENSACIG00000006000
mola_mola ENSMMOG00000016004
periophthalmus_magnuspinnatus ENSPMGG00000008953
hippocampus_comes ENSHCOG00000012127
esox_lucius ENSELUG00000014882
lepisosteus_oculatus ENSLOCG00000017233
phascolarctos_cinereus ENSPCIG00000019139
sarcophilus_harrisii ENSSHAG00000006144
monodelphis_domestica ENSMODG00000014284
echinops_telfairi ENSETEG00000018237
loxodonta_africana ENSLAFG00000032635
procavia_capensis ENSPCAG00000005136
cebus_capucinus ENSCCAG00000030941
callithrix_jacchus ENSCJAG00000011644
saimiri_boliviensis_boliviensis ENSSBOG00000023517
cercocebus_atys ENSCATG00000037445
theropithecus_gelada ENSTGEG00000011211
chlorocebus_sabaeus ENSCSAG00000006846
macaca_fascicularis ENSMFAG00000043903
papio_anubis ENSPANG00000019230
pan_paniscus ENSPPAG00000038817
pan_troglodytes ENSPTRG00000011607
homo_sapiens ENSG00000151353
gorilla_gorilla ENSGGOG00000037184
nomascus_leucogenys ENSNLEG00000008397
macaca_mulatta ENSMMUG00000042598
macaca_nemestrina ENSMNEG00000032146
mandrillus_leucophaeus ENSMLEG00000037752
rhinopithecus_roxellana ENSRROG00000008457
rhinopithecus_bieti ENSRBIG00000035083
colobus_angolensis_palliatus ENSCANG00000042900
piliocolobus_tephrosceles ENSPTEG00000027960
aotus_nancymaae ENSANAG00000027008
pongo_abelii ENSPPYG00000012692
carlito_syrichta ENSTSYG00000031137
castor_canadensis ENSCCNG00000024591
dipodomys_ordii ENSDORG00000001854
cricetulus_griseus_crigri-picr ENSCGRG00015007409
cricetulus_griseus_chok1gshd ENSCGRG00001009444
cricetulus_griseus_crigri ENSCGRG00000006228
mesocricetus_auratus ENSMAUG00000013576
peromyscus_maniculatus_bairdii ENSPEMG00000023515
microtus_ochrogaster ENSMOCG00000002586
mus_spicilegus ENSMSIG00000003259
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018510
mus_musculus ENSMUSG00000043061
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017668
mus_pahari MGP_PahariEiJ_G0029426
rattus_norvegicus ENSRNOG00000005144
meriones_unguiculatus ENSMUGG00000000163
nannospalax_galili ENSNGAG00000022544
jaculus_jaculus ENSJJAG00000019305
urocitellus_parryii ENSUPAG00010012959
ictidomys_tridecemlineatus ENSSTOG00000027494
marmota_marmota_marmota ENSMMMG00000022993
spermophilus_dauricus ENSSDAG00000002841
heterocephalus_glaber_male ENSHGLG00100008186
heterocephalus_glaber_female ENSHGLG00000001358
fukomys_damarensis ENSFDAG00000018639
chinchilla_lanigera ENSCLAG00000001654
octodon_degus ENSODEG00000000266
cavia_porcellus ENSCPOG00000012522
cavia_aperea ENSCAPG00000013650
vulpes_vulpes ENSVVUG00000009312
canis_lupus_dingo ENSCAFG00020005399
ursus_maritimus ENSUMAG00000004454
ursus_americanus ENSUAMG00000022658
ailuropoda_melanoleuca ENSAMEG00000009561
neovison_vison ENSNVIG00000017366
mustela_putorius_furo ENSMPUG00000012799
panthera_tigris_altaica ENSPTIG00000010852
panthera_pardus ENSPPRG00000019729
felis_catus ENSFCAG00000002155
pteropus_vampyrus ENSPVAG00000005129
prolemur_simus ENSPSMG00000022725
propithecus_coquereli ENSPCOG00000000046
otolemur_garnettii ENSOGAG00000006171
ochotona_princeps ENSOPRG00000008367
capra_hircus ENSCHIG00000027148
ovis_aries ENSOARG00000005219
bos_mutus ENSBMUG00000024353
bos_taurus ENSBTAG00000050718
bison_bison_bison ENSBBBG00000005559
sus_scrofa ENSSSCG00000036880
tursiops_truncatus ENSTTRG00000016170
erinaceus_europaeus ENSEEUG00000001271
myotis_lucifugus ENSMLUG00000016943
equus_asinus_asinus ENSEASG00005022006
equus_caballus ENSECAG00000008640
sorex_araneus ENSSARG00000003528
oryctolagus_cuniculus ENSOCUG00000009310
choloepus_hoffmanni ENSCHOG00000000543
choloepus_hoffmanni ENSCHOG00000001245
dasypus_novemcinctus ENSDNOG00000048164
taeniopygia_guttata ENSTGUG00000012952
lonchura_striata_domestica ENSLSDG00000012790
ficedula_albicollis ENSFALG00000002005
parus_major ENSPMJG00000009903
cyanistes_caeruleus ENSCCEG00000005666
serinus_canaria ENSSCAG00000011774
lepidothrix_coronata ENSLCOG00000015367
manacus_vitellinus ENSMVIG00005003719
zonotrichia_albicollis ENSZALG00000010059
junco_hyemalis ENSJHYG00000011692
melopsittacus_undulatus ENSMUNG00000014105
calidris_pugnax ENSCPUG00000009352
calidris_pygmaea ENSCPGG00000008543
gallus_gallus ENSGALG00000028744
meleagris_gallopavo ENSMGAG00000013967
numida_meleagris ENSNMEG00000021352
anser_brachyrhynchus ENSABRG00000013437
apteryx_haastii ENSAHAG00000015538
apteryx_owenii ENSAOWG00000015135
apteryx_rowi ENSARWG00000008812
nothoprocta_perdicaria ENSNPEG00000005094
crocodylus_porosus ENSCPRG00005008949
chelonoidis_abingdonii ENSCABG00000016666
gopherus_agassizii ENSGAGG00000004998
chrysemys_picta_bellii ENSCPBG00000021791
pelodiscus_sinensis ENSPSIG00000002368
anolis_carolinensis ENSACAG00000029169
pogona_vitticeps ENSPVIG00000007841
notechis_scutatus ENSNSUG00000007627
salvator_merianae ENSSMRG00000007356
sphenodon_punctatus ENSSPUG00000006046
latimeria_chalumnae ENSLACG00000002784
eptatretus_burgeri ENSEBUG00000013311
drosophila_melanogaster FBgn0050051
