periophthalmus_magnuspinnatus ENSPMGG00000021510
hippocampus_comes ENSHCOG00000009860
takifugu_rubripes ENSTRUG00000001831
takifugu_rubripes ENSTRUG00000015601
tetraodon_nigroviridis ENSTNIG00000004069
xiphophorus_maculatus ENSXMAG00000024139
xiphophorus_couchianus ENSXCOG00000004950
gambusia_affinis ENSGAFG00000015190
poecilia_mexicana ENSPMEG00000014147
poecilia_latipinna ENSPLAG00000010019
poecilia_formosa ENSPFOG00000008491
poecilia_reticulata ENSPREG00000020067
fundulus_heteroclitus ENSFHEG00000010276
cyprinodon_variegatus ENSCVAG00000015938
kryptolebias_marmoratus ENSKMAG00000004317
oryzias_latipes ENSORLG00020012759
oryzias_latipes_asm223469v1 ENSORLG00015010556
oryzias_latipes ENSORLG00000005321
oryzias_melastigma ENSOMEG00000007609
amphilophus_citrinellus ENSACIG00000023997
amphilophus_citrinellus ENSACIG00000023987
maylandia_zebra ENSMZEG00005002788
pundamilia_nyererei ENSPNYG00000021533
astatotilapia_calliptera ENSACLG00000022140
haplochromis_burtoni ENSHBUG00000017200
pundamilia_nyererei ENSPNYG00000021558
neolamprologus_brichardi ENSNBRG00000006890
oreochromis_niloticus ENSONIG00000013495
gasterosteus_aculeatus ENSGACG00000019743
labrus_bergylta ENSLBEG00000015268
mola_mola ENSMMOG00000014266
scophthalmus_maximus ENSSMAG00000018160
cynoglossus_semilaevis ENSCSEG00000018019
seriola_lalandi_dorsalis ENSSLDG00000023039
seriola_dumerili ENSSDUG00000021056
mastacembelus_armatus ENSMAMG00000009092
anabas_testudineus ENSATEG00000015899
monopterus_albus ENSMALG00000019371
amphiprion_ocellaris ENSAOCG00000017517
amphiprion_percula ENSAPEG00000021404
acanthochromis_polyacanthus ENSAPOG00000023094
stegastes_partitus ENSSPAG00000023550
gadus_morhua ENSGMOG00000009577
esox_lucius ENSELUG00000008888
pygocentrus_nattereri ENSPNAG00000001551
astyanax_mexicanus ENSAMXG00000038877
ictalurus_punctatus ENSIPUG00000001892
danio_rerio ENSDARG00000078078
astyanax_mexicanus ENSAMXG00000007332
pygocentrus_nattereri ENSPNAG00000011001
ictalurus_punctatus ENSIPUG00000020978
danio_rerio ENSDARG00000055132
esox_lucius ENSELUG00000015305
scleropages_formosus ENSSFOG00015018435
scleropages_formosus ENSSFOG00015008554
paramormyrops_kingsleyae ENSPKIG00000024840
paramormyrops_kingsleyae ENSPKIG00000007056
lepisosteus_oculatus ENSLOCG00000001963
pogona_vitticeps ENSPVIG00000016968
notechis_scutatus ENSNSUG00000002208
salvator_merianae ENSSMRG00000015861
gopherus_agassizii ENSGAGG00000022766
chelonoidis_abingdonii ENSCABG00000018107
chrysemys_picta_bellii ENSCPBG00000023416
pelodiscus_sinensis ENSPSIG00000002910
latimeria_chalumnae ENSLACG00000018597
