haplochromis_burtoni ENSHBUG00000012263
astatotilapia_calliptera ENSACLG00000021581
neolamprologus_brichardi ENSNBRG00000006505
amphilophus_citrinellus ENSACIG00000003587
xiphophorus_couchianus ENSXCOG00000016623
gambusia_affinis ENSGAFG00000012144
fundulus_heteroclitus ENSFHEG00000002647
stegastes_partitus ENSSPAG00000006079
anabas_testudineus ENSATEG00000005679
periophthalmus_magnuspinnatus ENSPMGG00000003371
labrus_bergylta ENSLBEG00000011992
labrus_bergylta ENSLBEG00000005692
anas_platyrhynchos ENSAPLG00000026872
anser_brachyrhynchus ENSABRG00000005951
junco_hyemalis ENSJHYG00000017984
gallus_gallus ENSGALG00000012259
nothoprocta_perdicaria ENSNPEG00000000292
ailuropoda_melanoleuca ENSAMEG00000014876
heterocephalus_glaber ENSHGLG00100000502
