callithrix_jacchus ENSCJAG00000042256
aotus_nancymaae ENSANAG00000036806
rhinopithecus_bieti ENSRBIG00000043259
rhinopithecus_roxellana ENSRROG00000041942
colobus_angolensis_palliatus ENSCANG00000007401
macaca_fascicularis ENSMFAG00000025648
macaca_nemestrina ENSMNEG00000039399
papio_anubis ENSPANG00000031626
theropithecus_gelada ENSTGEG00000002378
cercocebus_atys ENSCATG00000041178
mandrillus_leucophaeus ENSMLEG00000037618
pan_troglodytes ENSPTRG00000050993
pan_paniscus ENSPPAG00000041285
gorilla_gorilla ENSGGOG00000036805
homo_sapiens ENSG00000261341
nomascus_leucogenys ENSNLEG00000029953
