jaculus_jaculus ENSJJAG00000018958
dipodomys_ordii ENSDORG00000025602
neovison_vison ENSNVIG00000024621
panthera_tigris_altaica ENSPTIG00000013576
choloepus_hoffmanni ENSCHOG00000000453
myotis_lucifugus ENSMLUG00000001004
pteropus_vampyrus ENSPVAG00000006020
bison_bison_bison ENSBBBG00000013536
bos_mutus ENSBMUG00000009683
ovis_aries ENSOARG00000005133
capra_hircus ENSCHIG00000020812
tursiops_truncatus ENSTTRG00000004797
sus_scrofa ENSSSCG00000040186
equus_caballus ENSECAG00000024869
equus_asinus_asinus ENSEASG00005016060
ursus_americanus ENSUAMG00000026923
ailuropoda_melanoleuca ENSAMEG00000013823
neovison_vison ENSNVIG00000013728
canis_lupus_dingo ENSCAFG00020003105
canis_lupus_familiaris ENSCAFG00000014477
vulpes_vulpes ENSVVUG00000010932
panthera_pardus ENSPPRG00000006711
panthera_tigris_altaica ENSPTIG00000011489
felis_catus ENSFCAG00000004285
microcebus_murinus ENSMICG00000043340
propithecus_coquereli ENSPCOG00000018698
prolemur_simus ENSPSMG00000015194
microcebus_murinus ENSMICG00000001779
otolemur_garnettii ENSOGAG00000006974
gorilla_gorilla ENSGGOG00000004269
homo_sapiens ENSG00000111678
pongo_abelii ENSPPYG00000004212
theropithecus_gelada ENSTGEG00000007667
chlorocebus_sabaeus ENSCSAG00000010169
rhinopithecus_roxellana ENSRROG00000031505
rhinopithecus_bieti ENSRBIG00000040051
macaca_mulatta ENSMMUG00000010202
macaca_fascicularis ENSMFAG00000000549
macaca_nemestrina ENSMNEG00000033742
papio_anubis ENSPANG00000020210
colobus_angolensis_palliatus ENSCANG00000040830
cercocebus_atys ENSCATG00000041423
mandrillus_leucophaeus ENSMLEG00000043045
piliocolobus_tephrosceles ENSPTEG00000036993
cebus_capucinus ENSCCAG00000029803
saimiri_boliviensis_boliviensis ENSSBOG00000024165
callithrix_jacchus ENSCJAG00000007272
aotus_nancymaae ENSANAG00000027255
spermophilus_dauricus ENSSDAG00000017096
marmota_marmota_marmota ENSMMMG00000016822
ictidomys_tridecemlineatus ENSSTOG00000024055
