scleropages_formosus ENSSFOG00015014860
paramormyrops_kingsleyae ENSPKIG00000009862
oryzias_latipes_asm223469v1 ENSORLG00015015673
oryzias_latipes ENSORLG00020002555
oryzias_latipes ENSORLG00000009341
oryzias_melastigma ENSOMEG00000007202
mastacembelus_armatus ENSMAMG00000008996
anabas_testudineus ENSATEG00000002689
monopterus_albus ENSMALG00000007011
seriola_dumerili ENSSDUG00000013554
seriola_lalandi_dorsalis ENSSLDG00000019559
scophthalmus_maximus ENSSMAG00000003383
amphiprion_ocellaris ENSAOCG00000007177
amphiprion_percula ENSAPEG00000013850
acanthochromis_polyacanthus ENSAPOG00000013457
stegastes_partitus ENSSPAG00000010100
pundamilia_nyererei ENSPNYG00000007754
haplochromis_burtoni ENSHBUG00000000454
astatotilapia_calliptera ENSACLG00000024173
neolamprologus_brichardi ENSNBRG00000022582
oreochromis_niloticus ENSONIG00000014993
amphilophus_citrinellus ENSACIG00000022807
cyprinodon_variegatus ENSCVAG00000004146
fundulus_heteroclitus ENSFHEG00000002441
gambusia_affinis ENSGAFG00000004397
xiphophorus_maculatus ENSXMAG00000004183
poecilia_latipinna ENSPLAG00000012158
poecilia_reticulata ENSPREG00000004703
poecilia_formosa ENSPFOG00000018613
poecilia_mexicana ENSPMEG00000013327
kryptolebias_marmoratus ENSKMAG00000013941
gasterosteus_aculeatus ENSGACG00000012770
labrus_bergylta ENSLBEG00000019032
hippocampus_comes ENSHCOG00000011095
periophthalmus_magnuspinnatus ENSPMGG00000005558
gadus_morhua ENSGMOG00000002185
scophthalmus_maximus ENSSMAG00000021442
cynoglossus_semilaevis ENSCSEG00000008339
seriola_dumerili ENSSDUG00000001253
seriola_lalandi_dorsalis ENSSLDG00000021207
mastacembelus_armatus ENSMAMG00000021557
monopterus_albus ENSMALG00000020918
anabas_testudineus ENSATEG00000004947
takifugu_rubripes ENSTRUG00000017555
takifugu_rubripes ENSTRUG00000017558
tetraodon_nigroviridis ENSTNIG00000009350
mola_mola ENSMMOG00000016599
labrus_bergylta ENSLBEG00000026507
hippocampus_comes ENSHCOG00000002912
xiphophorus_maculatus ENSXMAG00000029606
xiphophorus_couchianus ENSXCOG00000011314
gambusia_affinis ENSGAFG00000017256
poecilia_formosa ENSPFOG00000013415
poecilia_mexicana ENSPMEG00000015605
poecilia_latipinna ENSPLAG00000004165
poecilia_reticulata ENSPREG00000023184
fundulus_heteroclitus ENSFHEG00000006146
cyprinodon_variegatus ENSCVAG00000019708
kryptolebias_marmoratus ENSKMAG00000006525
oryzias_latipes ENSORLG00000028865
oryzias_latipes ENSORLG00020009980
oryzias_latipes_asm223469v1 ENSORLG00015008126
oryzias_melastigma ENSOMEG00000001718
maylandia_zebra ENSMZEG00005014366
astatotilapia_calliptera ENSACLG00000001635
haplochromis_burtoni ENSHBUG00000013588
pundamilia_nyererei ENSPNYG00000013166
neolamprologus_brichardi ENSNBRG00000011080
amphiprion_percula ENSAPEG00000011260
amphiprion_ocellaris ENSAOCG00000014600
acanthochromis_polyacanthus ENSAPOG00000010937
stegastes_partitus ENSSPAG00000020422
amphilophus_citrinellus ENSACIG00000000399
periophthalmus_magnuspinnatus ENSPMGG00000006113
gadus_morhua ENSGMOG00000002668
esox_lucius ENSELUG00000014537
pygocentrus_nattereri ENSPNAG00000006297
astyanax_mexicanus ENSAMXG00000034365
ictalurus_punctatus ENSIPUG00000009847
danio_rerio ENSDARG00000105187
paramormyrops_kingsleyae ENSPKIG00000001825
lepisosteus_oculatus ENSLOCG00000004029
meleagris_gallopavo ENSMGAG00000006740
coturnix_japonica ENSCJPG00005014697
taeniopygia_guttata ENSTGUG00000014140
nothoprocta_perdicaria ENSNPEG00000008848
nothoprocta_perdicaria ENSNPEG00000000382
apteryx_owenii ENSAOWG00000005981
apteryx_haastii ENSAHAG00000016918
apteryx_rowi ENSARWG00000015747
dromaius_novaehollandiae ENSDNVG00000012608
crocodylus_porosus ENSCPRG00005005903
chelonoidis_abingdonii ENSCABG00000021578
gopherus_agassizii ENSGAGG00000020408
chrysemys_picta_bellii ENSCPBG00000023978
pelodiscus_sinensis ENSPSIG00000003859
anolis_carolinensis ENSACAG00000008905
pogona_vitticeps ENSPVIG00000013228
salvator_merianae ENSSMRG00000011562
ornithorhynchus_anatinus ENSOANG00000011089
dasypus_novemcinctus ENSDNOG00000030985
latimeria_chalumnae ENSLACG00000005626
petromyzon_marinus ENSPMAG00000007108
eptatretus_burgeri ENSEBUG00000003914
