oryctolagus_cuniculus ENSOCUG00000005745
ochotona_princeps ENSOPRG00000008690
pan_paniscus ENSPPAG00000039965
pan_troglodytes ENSPTRG00000011016
pongo_abelii ENSPPYG00000010007
nomascus_leucogenys ENSNLEG00000027364
macaca_mulatta ENSMMUG00000018364
macaca_fascicularis ENSMFAG00000039779
cercocebus_atys ENSCATG00000037964
macaca_fascicularis ENSMFAG00000045934
macaca_mulatta ENSMMUG00000028756
cercocebus_atys ENSCATG00000043859
theropithecus_gelada ENSTGEG00000023068
papio_anubis ENSPANG00000011602
chlorocebus_sabaeus ENSCSAG00000003601
macaca_nemestrina ENSMNEG00000041048
rhinopithecus_roxellana ENSRROG00000003707
rhinopithecus_bieti ENSRBIG00000038380
colobus_angolensis_palliatus ENSCANG00000035209
piliocolobus_tephrosceles ENSPTEG00000035132
saimiri_boliviensis_boliviensis ENSSBOG00000031464
cebus_capucinus ENSCCAG00000036488
callithrix_jacchus ENSCJAG00000020052
aotus_nancymaae ENSANAG00000023354
carlito_syrichta ENSTSYG00000027713
propithecus_coquereli ENSPCOG00000009276
microcebus_murinus ENSMICG00000002036
prolemur_simus ENSPSMG00000016405
otolemur_garnettii ENSOGAG00000029171
otolemur_garnettii ENSOGAG00000005443
castor_canadensis ENSCCNG00000000523
dipodomys_ordii ENSDORG00000028192
mus_musculus ENSMUSG00000049685
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030489
mus_spicilegus ENSMSIG00000029334
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029393
rattus_norvegicus ENSRNOG00000020827
meriones_unguiculatus ENSMUGG00000025651
cricetulus_griseus_chok1gshd ENSCGRG00001020568
cricetulus_griseus_crigri ENSCGRG00000006352
cricetulus_griseus_crigri-picr ENSCGRG00015024144
mesocricetus_auratus ENSMAUG00000021548
peromyscus_maniculatus_bairdii ENSPEMG00000012633
microtus_ochrogaster ENSMOCG00000017506
nannospalax_galili ENSNGAG00000023936
marmota_marmota_marmota ENSMMMG00000019828
marmota_marmota_marmota ENSMMMG00000019794
ictidomys_tridecemlineatus ENSSTOG00000029824
spermophilus_dauricus ENSSDAG00000002444
heterocephalus_glaber_female ENSHGLG00000006982
heterocephalus_glaber_male ENSHGLG00100018250
fukomys_damarensis ENSFDAG00000015495
chinchilla_lanigera ENSCLAG00000000870
octodon_degus ENSODEG00000000111
cavia_porcellus ENSCPOG00000013027
cavia_aperea ENSCAPG00000014653
ovis_aries ENSOARG00000007171
capra_hircus ENSCHIG00000013687
bos_mutus ENSBMUG00000023013
bos_taurus ENSBTAG00000003272
bison_bison_bison ENSBBBG00000017167
sus_scrofa ENSSSCG00000028627
ursus_americanus ENSUAMG00000008728
ailuropoda_melanoleuca ENSAMEG00000011857
neovison_vison ENSNVIG00000012242
mustela_putorius_furo ENSMPUG00000017659
canis_lupus_familiaris ENSCAFG00000005065
canis_lupus_dingo ENSCAFG00020014805
vulpes_vulpes ENSVVUG00000005428
panthera_tigris_altaica ENSPTIG00000016792
panthera_pardus ENSPPRG00000005560
felis_catus ENSFCAG00000019378
myotis_lucifugus ENSMLUG00000007247
sorex_araneus ENSSARG00000003876
erinaceus_europaeus ENSEEUG00000015405
erinaceus_europaeus ENSEEUG00000001583
equus_caballus ENSECAG00000024323
equus_asinus_asinus ENSEASG00005004861
loxodonta_africana ENSLAFG00000007666
sorex_araneus ENSSARG00000001469
sorex_araneus ENSSARG00000001108
choloepus_hoffmanni ENSCHOG00000001415
echinops_telfairi ENSETEG00000009480
erinaceus_europaeus ENSEEUG00000009404
jaculus_jaculus ENSJJAG00000009018
phascolarctos_cinereus ENSPCIG00000008249
notamacropus_eugenii ENSMEUG00000008757
sarcophilus_harrisii ENSSHAG00000002739
monodelphis_domestica ENSMODG00000008331
ornithorhynchus_anatinus ENSOANG00000011903
pogona_vitticeps ENSPVIG00000021314
anolis_carolinensis ENSACAG00000002646
notechis_scutatus ENSNSUG00000002468
salvator_merianae ENSSMRG00000000500
sphenodon_punctatus ENSSPUG00000013961
gopherus_agassizii ENSGAGG00000001354
chelonoidis_abingdonii ENSCABG00000023191
chrysemys_picta_bellii ENSCPBG00000009208
apteryx_owenii ENSAOWG00000003341
apteryx_rowi ENSARWG00000010273
